0	unassigned		10	0			0	998		
1	CRISIIDAE	Johnston, 1838	1	1	Johnston, 1847 in Taylor	Colony lightly calcified, erect, nodal, anchored by rhizoids, with cuticular joints. Autozooids forming uniserial or biserial internodes, tubular, free terminally. All zooids with numerous pseudopores. Articulated spines also present. Gonozooids bulbous and often very inflated, ooeciostome terminal, usually on a short tube.	1	40		
2	CROWNOPORIDAE	Ross, 1967	1	1			0	3		
3	ELEIDAE	d'Orbigny, 1852	1	1			0	33		
4	ONCOUSOECIIDAE	Canu, 1918	1	1		Colony weakly calcified, encrusting, or erect, uniserial or in multiserial lobes. Zooids tubular and simple, with raised peristomes which are not connate. Gonozooids simple, consisting of expanded zooids with a small, terminal ooeciostome.	1	5		
5	SAGENELLIDAE	Brood, 1975	1	1			0	2		
6	TUBULIPORIDAE	Johnston, 1838	1	1		Colony moderately to well calcified, encrusting or arising into erect lobes, sometimes with a basal layer of kenozooids. Zooids with pseudopores, arranged in connate rows, with peristomes separated from each other. Gonozooids either interspersed between autozooids, or larger, growing around several zooids; ooeciostome small, distal and tubular.	1	15		
7	MULTISPARSIDAE	Bassler, 1935	1	1			1	16		
8	DIASTOPORIDAE	Gregory, 1899	1	1	Busk, 1859 in Taylor	Colony well calcified, discoid when juvenile, encrusting and lobed, or bilaminar, folded or cylindrical. Autozooids very slender, with elongated peristomes. Gonozooids small, oval, or extensively lobed, spreading among autozooid peristomes along the colony periphery. The ooeciostome is short and tubular.	1	21		
9	SEMICEIDAE	Buge, 1952	1	1			0	39		
10	TERVIIDAE	Canu & Bassler, 1920	1	1		Colony well calcified, erect, arising from an encrusting base. Branches narrow, with connate zooids opening frontally. The gonozooids occur on the basal surface of the branches.	1	22		
11	PHACELOPORIDAE	Miller, 1889	1	1			0	31		
12	PUSTULOPORIDAE	Smitt, 1872	1	1			1	29		
13	CORYNOTRYPIDAE	Dzik, 1981	1	1			0	1		
14	DIAPEROECIIDAE	Canu, 1918	1	1			1	27		
15	CELLULIPORIDAE	Buge & Voigt, 1972	1	1			0	18		
16	HASTINGSIIDAE	Borg, 1944	1	1		Colony well calcified, with erect groups of zooids forming ridges (fascicles). The gonozooids occur between branches and do not surround other peristomes.	1	38		
17	SPIROPORIDAE	Voigt, 1968	1	1			0	23		
18	FRONDIPORIDAE	Busk, 1875	1	1	Busk, 1859 in Taylor	Colony heavily calcified, encrusting and massive, or lobed, giving rise to erect, dichotomous branches. Autozooid peristomes elongated, fused into bundles which open at the branch ends. Gonozooids in the axils between branches. They are elongated, forming a lobe which runs along each arm of a dichotomy. Ooeciostome. transversely oval, larger than an autozooid orifice.	1	32		
19	SIPHONIOTYPHLIDAE	Voigt, 1967	1	1			0	37		
20	ANNECTOCYMIDAE	Hayward & Ryland, 1985	1	1		Colony well calcified, encrusting with dichotomously branched lobes, which may give rise to erect, cylindrical, branching stems, with whorls of autozooids. Zooid walls with prominent pseudopores, peristomes erect, forming transverse rows. The gonozooid is elongated, occurring at bifurcations of zooid rows, or forming a clavate end of an erect branch. Ooeciostome distal or medial, with a flared aperture. (Bock, 1982).	1	24		
21	CRASSODISCOPORIDAE	Brood, 1972	1	1			0	47		
22	CRISULIPORIDAE	Buge, 1979	1	1		Colony erect, flexible, fixed to substrate by rootlets. Internodes long, of more than 12 zooids?. ...	1	41		
23	PETALOPORIDAE	Gregory, 1899	1	1			0	45		
24	FILISPARSIDAE	Borg, 1944	1	0	=Oncousoeciidae, in Pitt and Taylor, p.81	Colony well calcified, erect, often associated with algae. Branches multiserial and anastomosing, basal surface with growth ridges. Autozooids in connate rows, walls with fine pseudopores, marginal peristomes prominent. Gonozooids elongated and inflated, on the frontal side of the branch, enclosing several peristomes. The ooeciostome is subterminal, with a short tube and flattened orifice.	1	5		
25	SPARSIDAE	d'Orbigny, 1853	1	0	Invalid,		0	70		
26	BERENICEIDAE	Buge, 1957	1	0	Unrecognisable genus		1	27		
27	STOMATOPORIDAE	Pergens & Meunier, 1886	1	1			0	4		
28	THEONOIDAE	Busk, 1859	1	1			1	35		
29	CINCTIPORIDAE	Boardman, Taylor & McKinney, 1992	1	1		Colonies dendroid, generally bushy, branches cylindrical, bifurcating, few anastomosing, generally slender, subequal in diameter throughout colonies. Zooids typically in annular or spiral arrangements about imaginary branch axes, few rhombic in some specimens....(Boardman, McKinney & Taylor, 1992)	1	12		
30	HORNERIDAE	Smitt, 1867	1	1		Colony heavily calcified, sometimes massive, erect, arising from an encrusting base, strengthened by kenozooids. Branches three-dimensional, arborescent, sometimes anastomosing. All calcified walls are interior walls, with a coelomic space on the outer side. Zooids open on the frontal face, the gonozooid has a large, inflated portion on the basal (abfrontal) side of a branch. The ooeciostome is often placed laterally, and has a flaring orifice. (Bock, 1982)	1	42		
31	PLAGIOECIIDAE	Canu, 1918	1	1			1	20		
32	STIGMATOECHIDAE	Brood, 1972	1	1	=STEGOHORNERIDAE		1	44		
33	CANALIPORIDAE	Brood, 1972	1	1			0	52		
34	CYTIDIDAE	d'Orbigny, 1854	1	1		Colony well calcified, erect,  cup-shaped, arising from an encrusting base. Stem short and cylindrical supporting a cup. Autozooids in bundles (fascicles), with marginal orifices   projecting from the edge of the cup. Brood chamber on the pedunculate (lower) face. (Boardman et al).	1	48		
35	RADIOPORIDAE		1	1			0	51		
36	CRISINIDAE	d'Orbigny, 1853	1	1		Colony well calcified, erect, arising from a small encrusting base, with numerous bifurcating branches, often forming a cone. Zooid peristomes alternating on either side of a mid-line, walls sometimes pigmented, with pseudopores, basal surface with ridges and grooves. Gonozooids elongated, frontal, proximal to a branch bifurcation, incorporating several zooid series, ooeciostome  proximal to a zooid peristome.	1	46		
37	PSEUDOCERIOPORIDAE	Brood, 1972	1	1			0	58		
38	PSEUDIDMONEIDAE	Borg, 1944	1	1			1	50		
39	ENTALOPHORIDAE	Reuss, 1869	1	1			1	28		
40	CALVETIIDAE	Borg, 1944	1	0	=Petaloporidae?	Colony heavily calcified, becoming massive, with longitudinal ridges. Branches erect and  cylindrical with zooids opening on all faces. Gonozooids proximal to branch dichotomies, with reticulated surface calcification and slit-like apertures.	1	45		
41	FASCIGERIDAE	d'Orbigny, 1853	1	0	invalid		0	32		
42	STEGOHORNERIDAE	Borg, 1944	1	0	nomen nudum; =Stigmatoechidae		0	44		
43	MECYNOECIIDAE	Canu, 1918	1	1	=Entalophoridae	Colony well calcified, erect, arising from an encrusting base. Zooid peristomes opening on all sides of the branches. Gonozooids elongated, simple, sac-like, occurring in the axils of branch bifurcations. The ooeciostome is terminal, raised, with a compressed, flaring lip.	0	26		
44	CERIOPORIDAE	Reuss, 1866 (not Hennig)	1	1	Busk, 1859 in Taylor		0	54		
45	LEIOSOECIIDAE	Canu & Bassler, 1920	1	0	=Cerioporidae		0	54		
46	CORYMBOPORIDAE	Smitt, 1866	1	1		Colony well calcified, pedunculate, or discoid. Zooids in loose fascicles. Gonozooid on the upper surface, between the zooid fascicles.	1	57		
47	CANUELLIDAE	Borg, 1944	1	0	=Cerioporidae		0	54		
48	TRETOCYCLOECIIDAE	Canu, 1919	1	0	=Cerioporidae		1	54		
49	DENSIPORIDAE	Borg, 1944	1	1		Colony encrusting, sometimes thickly, or small and pedunculate; radially symmetrical or, if extensive, with macular centres. Autozooids and kenozooids free-walled (lacking exterior frontal walls), although some autozooid peristomes fixed-walled. Autozooids arranged radially or quincuncially, flanked or surrounded by kenozooids lacking diaphragms. Brood-chamber roof exterior-walled, entire or pierced by autozooidal peristomes, densely pseudoporous and typically bordered by raised rim; ooeciostome relatively simple tube, ooeciopore generally simple, sometimes flared. (Gordon & Taylor 2001)	0	53		
50	CAVIDAE	d'Orbigny, 1854	1	1			0	56		
51	HETEROPORIDAE	Waters, 1880	1	0	=Cerioporidae	Colony well calcified, encrusting early in astogeny, either becoming semi-erect and fusiform, associated with algae, forming screw-like ridges, or erect, pedunculate, and capitate. Autozooids and kenozooids occur on the upper surface. Gonozooids covered by a porous wall, either between the autozooid ridges, or immersed, formed as  a common extrazooidal space and producing a swelling on the upper surface . Ooeciostome large.	1	54		
52	DISPORELLIDAE	Borg, 1944	1	0	=Lichenoporidae		0	60		
53	FUNGELLIDAE	Kluge, 1955	1	0	=Corymboporidae		0	57		
54	LICHENOPORIDAE	Smitt, 1867	1	1		Colony well calcified, encrusting, often discoid, with a wide rim of undifferentiated basal lamina, which may be raised round the colony to form a cup. All calcified walls are interior walls. Zooids grow radially, sometimes becoming differentiated into fascicles, at the margins of zooid series. The gonozooid is an extrazooidal space with a distinct roof and a tubular or flared ooeciostome.	1	59		
55	REPTARIIDAE	Simpson, 1897	4	1			0	481		
56	HEDERELLIDAE	Kiepura, 1973	4	1			0	480		
57	FASCICULIPORIDAE	Walter, 1969	1	0	=Frondiporidae		0	32		
58	KUKERSELLIDAE	Brood, 1975	1	0	=Crownoporidae		0	3		
59	CLONOPORIDAE	Brood, 1975	1	0	=Crownoporidae?		0	3		
60	DIPLOCLEMIDAE	Gorjunova, 1992	1	0	=Corynotrypidae?		0	1		
61	CLAUSIDAE	d'Orbigny, 1854	1	1	?		0	61		
62	MELICERITITIDAE	Pergens, 1890	1	0	=Eleidae		0	33		
63	ACTINOPORIDAE	Vigneaux, 1949	1	1			0	36		
64	SULCOCAVIDAE	Viskova, 1972	1	0	=Cavidae??		0	56		
65	IDMONEIDAE	Busk, 1859	1	1			0	17		
66	CRISINELLIDAE	Miller, 1889	1	0	=Tubuliporidae		0	15		
68	BENEDENIPORIDAE	Delage & Herouard, 1897	7	1			1	84		
70	HISLOPIIDAE	Jullien, 1885	7	1			1	111		
