1	Crisia	Lamouroux, 1812	Sertularia eburnea	Linnaeus, 1758	1	1		Sterile internodes, except proximally, of three to many zooids (certainly up to 36); fertile zooids of at least five zooids. The membranous sac of the gonozooid not subdivided. Polypide with eight tentacles (Borg 1926). (Hayward & Ryland, 1985)
2	Bicrisia	d'Orbigny, 1853	Crisidia edwardsiana	d'Orbigny, 1847	1	1		Sterile internodes when branchless comprising two zooids, when branched three; but up to six zooids distally in the colony. Autozooids bearing slender, jointed spines. Fertile internodes comprising three to five zooids; the gonozooid free for most of its length, the ooeciostome distinctly basal (dorsal); membranous sac of the gonozooid divided into two parts. Nine tentacles (at least in some species, including the type: Borg, 1926) (Hayward & Ryland, 1985).
3	Crisidia	Milne Edwards, 1838	Sertularia cornuta	Linnaeus, 1758	1	1		Colonies small, branched, rather compact. Sterile internodes comprising a single autozooid plus a slender jointed spine. Fertile internode comprising a single gonozooid, from the base of which arise a pair of branches; its membranous sac divided into two parts (Hayward & Ryland, 1985).
4	Crisiella	Borg, 1924	Crisia producta	Smitt, 1864 (1865?)	1	1		Colonies branched, slender. Sterile internodes comprising one to seven internodes; fertile internodes comprising many autozooids disposed in a spiral around the gonozooid and giving rise to one or more unjointed branches. Membranous sac of gonozooid not subdivided. (Hayward & Ryland, 1985)
7	Filicrisia	d'Orbigny, 1853	Crisia geniculata	Milne Edwards, 1838	1	1		Colonies small, straggling. Sterile internodes comprising one, rarely two to three, zooids; fertile internodes 3-5 zooids. Gonozooid adnate to the subsequent autozooid for its entire length; its membranous sac divided into two parts. Spines absent (Hayward & Ryland, 1985).
20	Diastopora	Lamouroux, 1821	Diastopora foliacea	Lamouroux, 1821	1	8		
21	Bidiastopora	d'Orbigny, 1849	Diastopora cervicornis	Michelin, 1846	0	7	=Multisparsa	
22	Berenicea	Lamouroux, 1821	Berenicea diluviana	Lamouroux, 1821	0	26	unrecognisable (Taylor & Sequieros)	
23	Cardioecia	Canu & Bassler, 1922	Bidiastopora neocomiensis	d'Orbigny, 1853	1	8		
24	Diplosolen	Canu, 1918	Tubulipora obelia	Johnston, 1838	1	8		
43	Voigtopora	Bassler, 1952	Alecto calypso	d'Orbigny, 1850	1	27		
45	Oncousoecia	Canu, 1918	Tubulipora lobulata (=Alecto dilatans Johnston, 1847)	Hassall, 1841	1	4		
46	Stomatopora	Bronn, 1825	Alecto dichotoma	Lamouroux, 1821	1	27		
47	Stomatoporina	Balavoine, 1958	Alecto incurvata	Hincks, 1860	1	27		
48	Metastomatopora	Moyano, 1991	Metastomatopora bugei	Moyano, 1991	1	27		
49	Peristomatopora	Moyano, 1991	Peristomatopora harmelini	Moyano, 1991	1	27		
50	Tetrastomatopora	Moyano, 1991	Tetrastomatopora giselae	Moyano, 1991	1	27		
