1	Canu & Bassler, 1929	Philippines	6/06/2007	6/06/2007
2	MacGillivray, 1860a	On some new: TPSV 97		
3	MacGillivray, 1860b	Notes on the Cheilostomatous: TPSV 159		
4	MacGillivray, 1869	TPRSV - Some new genera...		
5	MacGillivray, 1879a	Prodromus III		
6	MacGillivray, 1879b	Prodromus IV		
7	MacGillivray, 1880	Prodromus V		
8	MacGillivray, 1881a	On some new species of Catenicella and Dictyopora...		
9	MacGillivray, 1881b	2 new genera		
10	MacGillivray, 1881	Prodromus VI		
11	MacGillivray, 1882a	Desc.1		
12	MacGillivray, 1882b	Prod.VII		
13	MacGillivray, 1883a	Desc.2		
14	MacGillivray, 1883b	Desc.3		
15	MacGillivray, 1883c	Desc.4		
16	MacGillivray, 1883d	Prod.VIII		
17	MacGillivray, 1884a	Desc.5		
18	MacGillivray, 1884b	Desc.6		
19	MacGillivray, 1884c	Prod.IX		
20	MacGillivray, 1885a	Desc.7		
21	MacGillivray, 1885b	Desc.8		
22	MacGillivray, 1885c	Prod.X		
23	MacGillivray, 1885d	Prod.XI		
24	MacGillivray, 1886a	Desc.9		
25	MacGillivray, 1886b	Prod.XII		
26	MacGillivray, 1886c	Prod.XIII		
27	MacGillivray, 1887a	CMPV		
28	MacGillivray, 1887b	Desc.10		
29	Hayward, 1991	Systematic studies on some Antarctic...Ascophora		
30	MacGillivray, 1887d	Desc.11		
31	MacGillivray, 1887c	Desc.12		
32	MacGillivray, 1887e	Prod.XIV		
33	MacGillivray, 1887f	Prod.XV		
34	MacGillivray, 1888a	Prod.XVI		
35	MacGillivray, 1888b	Prod.XVII		
36	MacGillivray, 1889a	SA		
37	MacGillivray, 1889b	Prod.XVIII		
38	MacGillivray, 1889c	Prod.XIX		
39	MacGillivray, 1890a	Additional SA		
40	MacGillivray, 1890b	Desc.13		
41	MacGillivray, 1890c	Prod.XX		
42	MacGillivray, 1890d	Indexes		
43	MacGillivray, 1891	Desc.14		
44	MacGillivray, 1895a	Tertiary Polyzoa of Victoria		
45	MacGillivray, 1895b	Amathia		
46	Bock, 1982	SA Inverts		
47	Hayward & Parker, 1994	Notes on some species of Parasmittina...		
48	Ryland & Hayward, 1992	Heron Is. 1		
49	Hayward & Ryland, 1995	Heron Is. 2		
50	Hayward, 1995b	Antarctic		
51	Ryland & Hayward, 1977	British Anascan		
52	Hayward & Ryland, 1979	British Ascophoran		
53	Hayward, 1985	British Ctenostome		
54	Hayward & Ryland, 1985	Systematic notes on some British Cyclostomata		
55	Gordon, 1984	Kermadec		
56	Hall, 1984	North Qld		
57	Soule, 1950a	Penetrantiidae		
58	Pohowsky, 1978	Boring		
59	Voigt & Soule, 1973	Cretaceous burrowing		
60	Soule & Soule, 1969	Three new spp		
61	Soule, 1950b	New sp Terebripora		
62	Livingstone, 1924	Studies on Australian Bryozoa. No.1		
63	Livingstone, 1925	Studies on Australian Bryozoa. No.2		
64	Livingstone, 1926a	Studies on Australian Bryozoa. No.3		
65	Livingstone, 1926b	Studies on Australian Bryozoa. No.4		
66	Livingstone, 1928a	Bryozoa from South Australia		
67	Livingstone, 1928b	The Bryozoa, Supplementary Report, The Australian Antarctic Expedition		
68	Gordon, 1986	NZ Anasca		
69	Gordon, 1989c	NZ Ascophora		
70	Cook & Chimonides, 1984a	1. NZ Otionella		
71	Cook & Chimonides, 1984b	2. Aust. Helixotionella		
72	Cook & Chimonides, 1985a	3. Opesiulate		
73	Cook & Chimonides, 1985b	4. American & Aus. Otionella		
74	Cook & Chimonides, 1985c	5. Selenaria alata		
75	Cook & Chimonides, 1986	6. Lunulites sensu lato		
76	Cook & Chimonides, 1987	7. Selenaria maculata		
77	Cook, 1985	Ghana		
78	Hayward, 1988b	Recent Adeonella		
79	Harmer, 1915	Siboga ctenostomes etc		
