SpeciesID	Current_name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	html_page	first_name	OK	Status
18550	Bonellina pentagonalis	Schmidt, 2007 	148	0			23/05/2010		Bonellina	1	
20216	Tubiporella magna	(Tenison Woods, 1880)	264	0		7/06/2007	23/05/2010		Tubiporella	1	
20217	Nicklesopora avia	Gilmour, 2007	443	0		7/06/2007	23/05/2010		Nicklesopora	1	
20218	Lutulentus muralspineus	Gilmour, 2007	434	0		7/06/2007	23/05/2010		Lutulentus	1	
20219	Anisotrypa hamata	Gorjunova, 2007	563	0		7/06/2007	23/05/2010		Anisotrypa	1	
20220	Paranicklesopora stupenda	Gorjunova, 2007	434	0		7/06/2007	23/05/2010		Paranicklesopora	1	
20221	Euthyrhombopora barbara	Gorjunova, 2007	434	0		7/06/2007	23/05/2010		Euthyrhombopora	1	
10836	 was Acoscinopleura fallax=17705	Voigt, 1956	181	0	ZR1956 now gladiiformis		23/05/2010		was	0	
17910	 was Actinopora regularis=17939	d'Orbigny, 1853	28	0			23/05/2010		was	0	
9414	 was Adenifera margarethensis	Udin, 1964	148	0	ZR1965=Hiantopora radicifera		23/05/2010		was	0	
14392	 was Adenifera marginella=6429	(Hincks, 1884)	148	1			23/05/2010		was	0	
17409	 was Aechmella michaudiana=14489	(d'Orbigny, 1850)	156	0			23/05/2010		was	0	
2839	 was Alcyonidium disjunctum	Hincks, 1877	72	1	unrecognisable-Hayward		23/05/2010		was	0	
2817	 was Alcyonidium gelatinosum australe=2959	d'Hondt & Moyano, 1979	72	1	ZR1979-024		23/05/2010		was	0	
2820	 was Alcyonidium gelatinosum lacourti=14113	d'Hondt, 1983	72	1	ZR1987/88-038 see Porter 2004		23/05/2010		was	0	
9674	 was Alcyonidium proboscideum	Kluge, 1962	72	1	ZR1962; =effusum, d'Hondt		23/05/2010		was	0	
2822	 was Alcyonidium proliferans=14113	Lacourt, 1949 (1941 in d'Hondt?, 1951 in Prenant)	72	1	ZR1949 see Porter 2004		23/05/2010		was	0	
16873	 was Alcyonidium reticulum	Ryland & Porter, 2000	72	1	ZR1999/2000, now a.gel 709,  see R&P2003		23/05/2010		was	0	
11793	 was Alcyonidium rugosum=2044	Silén, 1942	72	1	ZR1943; not in d'Hondt		23/05/2010		was	0	
2823	 was Alcyonidium topsenti=14113	Roehrich, 1910	72	1	(d'Hondt, 1983) see Porter 2004		23/05/2010		was	0	
16504	 was Alderina irregularis=2290	(Smitt, 1873), not d'Orbigny	148	1			23/05/2010		was	0	
13747	 was Allonema curtum	Bassler, 1928	114	0	ZR1928, non Bryozoa		23/05/2010		was	0	
9770	 was Alternifenestella motavlyensis=11655	(Trizna & Klautsan, 1961)	501	0	ZR1962; =Fenestella tenuiseptata Horowitz		23/05/2010		was	0	
14194	 was Amphiblestrella elegans=11245	(von Hagenow, 1851)	150	0			23/05/2010		was	0	
16594	 was Amphiblestrum auritum norwegicum=14073	(Nordgaard, 1918)	148	1	ZR1918, status?		23/05/2010		was	0	
14736	 was Amphiblestrum denticulatum=14622	Canu & Bassler, 1924	148	0	ZR1926		23/05/2010		was	0	
16545	 was Amphiblestrum? abortivum=14487	(Gabb & Horn, 1862)	148	0			23/05/2010		was	0	
8552	 was Amplexopora chappersi	(Loeblich, 1942)	556	0	ZR1942 as Batostoma; =Amplexopora winchelli fide Key & Judd (1994		23/05/2010		was	0	
15619	 was Amplexopora multispinosa=15612	Cumings, 1901	560	0	=A.septosa, Brown & Daly 1985		23/05/2010		was	0	
12045	 was Amplexopora septosa maculosa	Cumings & Galloway, 1913	560	0	ZR1938, now =A.septosa		23/05/2010		was	0	
12046	 was Amplexopora septosa minima	Cumings & Galloway, 1913	560	0	ZR1938, now =A.septosa		23/05/2010		was	0	
15622	 was Anaphragma portranense=6582	Ross, 1966	560	0	ZR1966, ? status - may have been deleted from original		23/05/2010		was	0	
2771	 was Anchicleidochasma mirabile=1713	(Harmer, 1957)	273	1			23/05/2010		was	0	
1424	 was Antropora marginella=6429	(Hincks, 1884)	153	1			23/05/2010		was	0	
13161	 was Aplousina bobiesi=7569	(David & Pouyet, 1974)	148	0			23/05/2010		was	0	
17585	 was Aplousina laevigata=16642	Liu & Ristedt, 2000?	148	1	nomen nudum		23/05/2010		was	0	
2339	 was Aplousina? circumsaepta=1044	Uttley, 1951	148	1	ZR1951		23/05/2010		was	0	
16966	 was Apsendesia fasciculata	(Reuss, 1848)	18	0	in Ghiurca, 1975, now Bobiesopora		23/05/2010		was	0	
7266	 was Arachnidium jurassicum=6313	Voigt, 1977	83	0	ZR1977; Horowitz		23/05/2010		was	0	
6758	 was Arachnidium smithii	(Phillips, 1829)	83	0	now Simplicidium		23/05/2010		was	0	
6878	 was Araxopora fistulata=6045	Li, 1977	574	0	ZR1979-053; Horowitz		23/05/2010		was	0	
7596	 was Araxopora malayensis	Sakagami, 1973	574	0	ZR1974-106 = A.araxensis		23/05/2010		was	0	
15802	 was Araxopora minax=9357	(Morozova, 1970)	574	0	not in ZR!!; Astrova, 1978		23/05/2010		was	0	
6881	 was Araxopora obovata=6045	Li, 1977	574	0	ZR1979-053; Horowitz		23/05/2010		was	0	
15282	 was Archimedes grandis 6590	Ulrich, 1890	501	0	=A.owenana (Snyder 1991)		23/05/2010		was	0	
11768	 was Archimedes halli 6590	Condra & Elias, 1944	501	0	ZR1944		23/05/2010		was	0	
11772	 was Archimedes moorei=6482	Condra & Elias, 1944	501	0	ZR1944		23/05/2010		was	0	
11765	 was Archimedes welleri	Condra & Elias, 1944	501	0	ZR1944; now A.wortheni, see Snyder 1991		23/05/2010		was	0	
8280	 was Arcticopora dagysi	(Morozova, 1969)	565	0	ZR1969- as Paralioclema; Astrova 1978		23/05/2010		was	0	
7008	 was Arcticopora koboyashii=7979	(Sakagami, 1972)	565	0	ZR1979-094		23/05/2010		was	0	
6486	 was Arthrotrypa harrisi	(James, 1883)	430	0	ZR1992/93-050		23/05/2010		was	0	
17351	 was Atactotoechus lui=13970	Yang, 1950	561	0	not in ZR, in Boardman, 1960		23/05/2010		was	0	
15657	 was Atactotoechus? sonculiensis=9908	Orlovski, 1961	561	0	in Astrova 1978		23/05/2010		was	0	
6886	 was Australofenestella macleayensis=9265	(Campbell, 1962)	501	0			23/05/2010		was	0	
13615	 was Bathosella' aspera=7427	(Ulrich, 1901)	218	0			23/05/2010		was	0	
10989	 was Bathysoecia hastingsae	Osburn, 1953	6	1	ZR1953 = B.polygonalis Kluge		23/05/2010		was	0	
9273	 was Batostoma campense=9270	Ross, 1963	556	0	ZR1963 ?=chazyense		23/05/2010		was	0	
15479	 was Batostoma mickwitzi=6732	Bassler, 1911	556	0	in Astrova 1978		23/05/2010		was	0	
10145	 was Batostomella concentrica=9486	Nikiforova, 1927	581	0	ZR1927; ZR1959		23/05/2010		was	0	
12384	 was Batostomella spinigera araxensis=6045	Nikiforova, 1933	581	0	ZR1934		23/05/2010		was	0	
14048	 was Beania robusta	(Hincks, 1881)	200	1	=hirtissima, fide McKinney & Hayward 2002		23/05/2010		was	0	
11284	 was Beisselinopsis oblita	(Kade, 1852)	221	0	now Pavobeisselina		23/05/2010		was	0	
11476	 was Biavicularium catahoulana	(McGuirt, 1941)	222	0	ZR1947; as Trigonopora colligata catah.; species dubia		23/05/2010		was	0	
3575	 was Biavicularium tenue=14869?	(Busk, 1884)	222	1	tenuis unrecognisable?		23/05/2010		was	0	
14313	 was Bicrisina compressa	(Reuss, 1848)	36	0	now Exochoecia		23/05/2010		was	0	
7431	 was Bifaxaria lagaaiji=3361	d'Hondt, 1975	286	1	ZR1975-029		2/06/2010		was	0	Objective synonym
7432	 was Bifaxaria redieri=3362	d'Hondt, 1975	286	1	ZR1975-029		23/05/2010		was	0	
9966	 was Biflustra mogadori=1273	Gantes & Balavoine, 1961	136	1	ZR1961 now=Memb. arborescens		23/05/2010		was	0	
17676	 was Biretepora disticha=14290	(Goldfuss, 1826)	36	0			23/05/2010		was	0	
7893	 was Bowerbankia medullaris	Mawatari, 1972	102	1	ZR1972-068		23/05/2010		was	0	
9163	 was Buffonellaria loculifera=930	Canu & Bassler, 1929	290	1	ZR1929		23/05/2010		was	0	
15813	 was Bugula brasiliensis	(d'Orbigny, 1841)	192	1	now = turrita		23/05/2010		was	0	
1404	 was Bugula cucullata=18702	Busk, 1867	192	1			23/05/2010		was	0	
705	 was Buskea quincuncialis	(Norman, 1867)	290	1	= B.nitida		23/05/2010		was	0	
12489	 was Bythopora? ivanovi=10146	Nikiforova, 1933	581	0	ZR1933		23/05/2010		was	0	
12150	 was Caberea gigantoceros	Yanagi & Okada, 1918	202	1	ZR1937 -error in key for C. megaceras		23/05/2010		was	0	
13619	 was Caleschara laxa	Canu & Bassler, 1929	191	1	ZR1929; = C. minuta		23/05/2010		was	0	
550	 was Callopora aurita	(Hincks, 1877)	148	1	now Amphiblestrum, 4285		23/05/2010		was	0	
10346	 was Callopora longispina=6077	Androsova, 1958	148	1	ZR1958		23/05/2010		was	0	
12656	 was Callopora ungavensis=19619	Osburn, 1932	148	1	ZR1932		23/05/2010		was	0	
3694	 was Calloporella jarvensis	Pushkin, 1981	555	0	ZR1981-098,  syn of lamellarisZR1982		23/05/2010		was	0	
15319	 was Calloporella lamellaris	(Modzalevskaya, 1955)	555	0	not in ZR, now C.modzalevsk..ZR1982		23/05/2010		was	0	
1877	 was Calyptotheca triarmata	Hayward, 1974	282	1	=Schizomavella asymetrica		23/05/2010		was	0	
14669	 was Cardioecia faringdonensis=4139	Canu & Bassler, 1926	8	0	ZR1926		23/05/2010		was	0	
14670	 was Cardioecia pauper=4139	Canu & Bassler, 1926	8	0	ZR1926; Pitt & Taylor		23/05/2010		was	0	
12976	 was Castanopora aspera	(Lang, 1916)	206	0	as Rhiniopora; ZR1962, Larwood- now Castanopora magnifica		23/05/2010		was	0	
12977	 was Castanopora asperula	(Marsson, 1887)	206	0			23/05/2010		was	0	
12992	 was Castanopora guascoi-5090	(Ubaghs, 1865)	206	0	=bipunctata, Voigt 1979		23/05/2010		was	0	
12980	 was Castanopora horrida	(Lang, 1916)	206	0			23/05/2010		was	0	
12989	 was Castanopora jugans	Lang, 1916	206	0			23/05/2010		was	0	
12981	 was Castanopora scab bra	(Lang, 1916)	206	0			23/05/2010		was	0	
9834	 was Castanopora voigti	Larwood, 1962	206	0	ZR1962		23/05/2010		was	0	
8461	 was Catenicella continua=2368	Waters, 1891	294	0			23/05/2010		was	0	
14987	 was Cauloramphus triangularis	Canu & Bassler, 1923		0	ZR1923		23/05/2010		was	0	
4153	 was Cava dumetosa	(Michelin, 1846)	50	0	ZR1922 query not available really Lamouroux species		23/05/2010		was	0	
2262	 was Cellaria boninensis	Silén, 1941	178	1	ZR1938; ZR1942; = tenuirostris fide Hastings 1946		23/05/2010		was	0	
6127	 was Cellepora nodulosa&=1862	(Lorenz, 1886)	290	1			23/05/2010		was	0	
7820	 was Celleporaria (Sinuporaria) reussi=17759	Pouyet, 1973	230	0	ZR1973-140		23/05/2010		was	0	
11122	 was Celleporaria alata=4315	(Lagaaij, 1952)	230	0	ZR1952		23/05/2010		was	0	
14801	 was Celleporaria aviculifera&	(Canu & Bassler, 1923)	230	0	ZR1923		23/05/2010		was	0	
14646	 was Celleporaria diestensis	(Canu, 1925)	230	0	ZR1927; now C.palmata		23/05/2010		was	0	
2738	 was Celleporaria magnifica	(Osburn, 1914)	230	1			23/05/2010		was	0	
