SpeciesID	Current_Name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	first_name	html_page	OK	Status	FAMILIES::NAME
16872	Conopeum ponticum	Hayward, 2001	142	1	ZR2002-042	\N	2010-05-23	Conopeum	http://bryozoa.net/cheilostomata/electridae/conopeum_ponticum.html	1	\N	ELECTRIDAE
20267	Conopeum nakanosum	Grischenko, Dick & Mawatari, 2007	142	1	\N	2008-01-9	2010-05-23	Conopeum	http://bryozoa.net/cheilostomata/electridae/conopeum_nakanosum.html	1	\N	ELECTRIDAE
953	Bathypora nitens	(Hincks, 1880)	142	1	\N	\N	2010-05-23	Bathypora	http://bryozoa.net/cheilostomata/electridae/bathnit.html	1	\N	ELECTRIDAE
1141	Watersipora subtorquata	(d'Orbigny, 1852)	280	1	\N	\N	2010-05-23	Watersipora	bryozoa.net/cheilostomata/watersiporidae/watesub.html	1	\N	WATERSIPORIDAE
1322	Watersipora subovoidea	(d'Orbigny, 1852)	280	1	\N	\N	2010-05-23	Watersipora	bryozoa.net/cheilostomata/watersiporidae/watersipora_subovoidea.html	1	\N	WATERSIPORIDAE
84	Watersipora arcuata	Banta, 1969	280	1	ZR1969	\N	2010-05-23	Watersipora	bryozoa.net/cheilostomata/watersiporidae/watearc.html	1	\N	WATERSIPORIDAE
20024	Robertsonidra sutila	Tilbrook, 2006	243	1	\N	\N	2010-05-23	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_sutila.html	1	\N	HIPPALIOSINIDAE
20023	Robertsonidra porifera	(Maplestone, 1909)	243	1	\N	\N	2010-05-23	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_porifera.html	1	\N	HIPPALIOSINIDAE
20025	Robertsonidra bacrionis	Tilbrook, 2006	243	1	\N	\N	2010-05-23	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_bacrionis.html	1	\N	HIPPALIOSINIDAE
141	Robertsonidra argentea	(Hincks, 1881)	243	1	\N	\N	2010-05-23	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_argentea.html	1	\N	HIPPALIOSINIDAE
204	Robertsonidra praecipua	Hayward & Ryland, 1995	243	1	ZR1995/96-045	\N	2010-05-23	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robepra.html	1	\N	HIPPALIOSINIDAE
16654	Trypostega maculata	Tilbrook, Hayward & Gordon, 2001	231	1	ZR2001-093	\N	2010-05-23	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_maculata.html	1	\N	TRYPOSTEGIDAE
19979	Trypostega johnsoulei	Tilbrook, 2006	231	1	\N	\N	2010-05-23	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_johnsoulei.html	1	\N	TRYPOSTEGIDAE
19978	Trypostega henrychaneyi	Tilbrook, 2006	231	1	\N	\N	2010-05-23	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_henrychaneyi.html	1	\N	TRYPOSTEGIDAE
19977	Trypostega dorothysouleae	Tilbrook, 2006	231	1	\N	\N	2010-05-23	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_dorothysouleae.html	1	\N	TRYPOSTEGIDAE
3261	Torquatella duolamellata	(Scholz, 1993)	334	1	ZR1993/94-082, ZR2001	\N	2010-05-23	Torquatella	bryozoa.net/cheilostomata/torquatellidae/torqduo.html	1	\N	TORQUATELLIDAE
2137	Thalamoporella sibogae	Soule, Soule & Chaney, 1992	168	1	ZR1993/94-086	\N	2010-05-23	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalsib.html	1	\N	THALAMOPORELLIDAE
2144	Thalamoporella komodoensis	Winston & Heimberg, 1986	168	1	ZR1986-185	\N	2010-05-23	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_komodoensis.html	1	\N	THALAMOPORELLIDAE
1445	Thalamoporella hamata	Harmer, 1926	168	1	ZR1926	\N	2010-05-23	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_hamata.html	1	\N	THALAMOPORELLIDAE
118	Thalamoporella granulata	Levinsen, 1909	168	1	\N	\N	2010-05-23	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_granulata.html	1	\N	THALAMOPORELLIDAE
16651	Thalamoporella gracilata	Tilbrook, Hayward & Gordon, 2001	168	1	ZR2001-093	\N	2010-05-23	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_gracilata.html	1	\N	THALAMOPORELLIDAE
190	Thairopora calcarata	Hayward & Ryland, 1995	168	1	ZR1995/96-045	\N	2010-05-23	Thairopora	bryozoa.net/cheilostomata/thalamoporellidae/thairopora_calcarata.html	1	\N	THALAMOPORELLIDAE
1719	Tetraplaria immersa	(Haswell, 1881)	272	1	\N	\N	2010-05-23	Tetraplaria	bryozoa.net/cheilostomata/tetraplariidae/tetrimm.html	1	\N	TETRAPLARIIDAE
6129	Tetraplaria ventricosa	(Haswell, 1881)	272	1	=T.mutica Busk	\N	2010-05-23	Tetraplaria	bryozoa.net/cheilostomata/tetraplariidae/tetraplaria_ventricos.html	1	\N	TETRAPLARIIDAE
1720	Cigclisula occlusa	(Busk, 1884)	319	1	ZR1929	\N	2010-05-23	Cigclisula	bryozoa.net/cheilostomata/stomachetosellidae/cigcocc.html	1	\N	COLATOOECIIDAE
207	Cigclisula fruticosa	Hayward & Ryland, 1995	319	1	ZR1995/96-045	\N	2010-05-23	Cigclisula	bryozoa.net/cheilostomata/stomachetosellidae/cigclisula_fruticosa.html	1	\N	COLATOOECIIDAE
6869	Steginoporella porteri	(Maplestone, 1909)	166	0	ZR1979-087; check*	\N	2010-05-23	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_porteri.html	1	\N	STEGINOPORELLIDAE
1435	Steginoporella mandibulata	Harmer, 1926	166	1	ZR1926	\N	2010-05-23	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_mandibulata.html	1	\N	STEGINOPORELLIDAE
20043	Steginoporella crassa	(Haswell, 1881)	166	1	\N	\N	2010-05-23	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_crassa.html	1	\N	STEGINOPORELLIDAE
1298	Steginoporella buskii	Harmer, 1900	166	1	\N	\N	2010-05-23	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_buskii.html	1	\N	STEGINOPORELLIDAE
1437	Labioporella spatulata	Harmer, 1926	166	1	ZR1926	\N	2010-05-23	Labioporella	bryozoa.net/cheilostomata/steginoporellidae/labioporella_spatulata.html	1	\N	STEGINOPORELLIDAE
208	Smittoidea incucula	Hayward & Ryland, 1995	266	1	ZR1995/96-045	\N	2010-05-23	Smittoidea	bryozoa.net/cheilostomata/smittinidae/smittoidea_incucula.html	1	\N	SMITTINIDAE
20003	Smittoidea dentio	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Smittoidea	bryozoa.net/cheilostomata/smittinidae/smittoidea_dentio.html	1	\N	SMITTINIDAE
20002	Smittina unicus	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Smittina	bryozoa.net/cheilostomata/smittinidae/smittina_unicus.html	1	\N	SMITTINIDAE
150	Smittoidea pacifica	Soule & Soule, 1973	266	1	ZR1973-163	\N	2010-05-23	Smittoidea	bryozoa.net/cheilostomata/smittinidae/smitpac.html	1	\N	SMITTINIDAE
156	Pleurocodonellina signata	(Waters, 1889)	266	1	\N	\N	2010-05-23	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleusig.html	1	\N	SMITTINIDAE
3262	Pleurocodonellina soulesi	(Scholz & Cusi, 1993)	266	1	ZR1993/94-082	\N	2010-05-23	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_soulesi.html	1	\N	SMITTINIDAE
20000	Pleurocodonellina microperforata	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_microperforata.html	1	\N	SMITTINIDAE
20001	Pleurocodonellina macroperforata	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_macroperforata.html	1	\N	SMITTINIDAE
209	Pleurocodonellina laciniosa	Hayward & Ryland, 1995	266	1	ZR1995/96-045	\N	2010-05-23	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_laciniosa.html	1	\N	SMITTINIDAE
157	Pleurocodonellina clavicula	Ryland & Hayward, 1992	266	1	ZR1992/93-085	\N	2010-05-23	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_clavicula.html	1	\N	SMITTINIDAE
155	Parasmittina turbula	Ryland & Hayward, 1992	266	1	ZR1992/93-085	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_turbula.html	1	\N	SMITTINIDAE
19996	Parasmittina trunculata	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_trunculata.html	1	\N	SMITTINIDAE
19995	Parasmittina rimula	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_rimula.html	1	\N	SMITTINIDAE
19998	Parasmittina parvitatis	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_parvitatis.html	1	\N	SMITTINIDAE
19994	Parasmittina ovilirata	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_ovilirata.html	1	\N	SMITTINIDAE
153	Parasmittina onychorrhyncha	Ryland & Hayward, 1992	266	1	ZR1992/93-085	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_onychorrhyncha.html	1	\N	SMITTINIDAE
19999	Parasmittina inalienata	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_inalienata.html	1	\N	SMITTINIDAE
151	Parasmittina galerita	Ryland & Hayward, 1992	266	1	ZR1992/93-085	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_galerita.html	1	\N	SMITTINIDAE
19993	Parasmittina exiguiuncinata	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_exiguiuncinata.html	1	\N	SMITTINIDAE
19997	Parasmittina dependeo	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_dependeo.html	1	\N	SMITTINIDAE
20039	Parasmittina aculeata	Tilbrook, 2006	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_aculeata.html	1	\N	SMITTINIDAE
154	Parasmittina serrula	Soule & Soule, 1973	266	1	ZR1973-163	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/paraser.html	1	\N	SMITTINIDAE
101	Parasmittina parsevalii	(Audouin, 1826)	266	1	\N	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parapar2.html	1	\N	SMITTINIDAE
100	Parasmittina hastingsae	Soule & Soule, 1973	266	1	ZR1973-163	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parahas.html	1	\N	SMITTINIDAE
14026	Parasmittina areolata	(Canu & Bassler, 1927)	266	1	ZR1928	\N	2010-05-23	Parasmittina	bryozoa.net/cheilostomata/smittinidae/paraare.html	1	\N	SMITTINIDAE
148	Stylopoma viride	(Thornely, 1905)	250	1	\N	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_viride.html	1	\N	SCHIZOPORELLIDAE
16641	Stylopoma vilaensis	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_vilaensis.html	1	\N	SCHIZOPORELLIDAE
16640	Stylopoma velatum	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_velatum.html	1	\N	SCHIZOPORELLIDAE
16639	Stylopoma varus	Tilbrook, 2001	250	1	ZR2001-092	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_varus.html	1	\N	SCHIZOPORELLIDAE
147	Stylopoma thornelyi	(Livingstone, 1926)	250	1	\N	\N	2010-05-23	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_thornelyi.html	1	\N	SCHIZOPORELLIDAE
