SpeciesID	Current_Name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	first_name	html_page	OK	Status	FAMILIES::NAME
16872	Conopeum ponticum	Hayward, 2001	142	1	ZR2002-042		23/05/2010	Conopeum	http://bryozoa.net/cheilostomata/electridae/conopeum_ponticum.html	1		ELECTRIDAE
20267	Conopeum nakanosum	Grischenko, Dick & Mawatari, 2007	142	1		9/01/2008	23/05/2010	Conopeum	http://bryozoa.net/cheilostomata/electridae/conopeum_nakanosum.html	1		ELECTRIDAE
953	Bathypora nitens	(Hincks, 1880)	142	1			23/05/2010	Bathypora	http://bryozoa.net/cheilostomata/electridae/bathnit.html	1		ELECTRIDAE
1141	Watersipora subtorquata	(d'Orbigny, 1852)	280	1			23/05/2010	Watersipora	bryozoa.net/cheilostomata/watersiporidae/watesub.html	1		WATERSIPORIDAE
1322	Watersipora subovoidea	(d'Orbigny, 1852)	280	1			23/05/2010	Watersipora	bryozoa.net/cheilostomata/watersiporidae/watersipora_subovoidea.html	1		WATERSIPORIDAE
84	Watersipora arcuata	Banta, 1969	280	1	ZR1969		23/05/2010	Watersipora	bryozoa.net/cheilostomata/watersiporidae/watearc.html	1		WATERSIPORIDAE
20024	Robertsonidra sutila	Tilbrook, 2006	243	1			23/05/2010	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_sutila.html	1		HIPPALIOSINIDAE
20023	Robertsonidra porifera	(Maplestone, 1909)	243	1			23/05/2010	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_porifera.html	1		HIPPALIOSINIDAE
20025	Robertsonidra bacrionis	Tilbrook, 2006	243	1			23/05/2010	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_bacrionis.html	1		HIPPALIOSINIDAE
141	Robertsonidra argentea	(Hincks, 1881)	243	1			23/05/2010	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robertsonidra_argentea.html	1		HIPPALIOSINIDAE
204	Robertsonidra praecipua	Hayward & Ryland, 1995	243	1	ZR1995/96-045		23/05/2010	Robertsonidra	bryozoa.net/cheilostomata/unassigned/robepra.html	1		HIPPALIOSINIDAE
16654	Trypostega maculata	Tilbrook, Hayward & Gordon, 2001	231	1	ZR2001-093		23/05/2010	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_maculata.html	1		TRYPOSTEGIDAE
19979	Trypostega johnsoulei	Tilbrook, 2006	231	1			23/05/2010	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_johnsoulei.html	1		TRYPOSTEGIDAE
19978	Trypostega henrychaneyi	Tilbrook, 2006	231	1			23/05/2010	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_henrychaneyi.html	1		TRYPOSTEGIDAE
19977	Trypostega dorothysouleae	Tilbrook, 2006	231	1			23/05/2010	Trypostega	bryozoa.net/cheilostomata/trypostegidae/trypostega_dorothysouleae.html	1		TRYPOSTEGIDAE
3261	Torquatella duolamellata	(Scholz, 1993)	334	1	ZR1993/94-082, ZR2001		23/05/2010	Torquatella	bryozoa.net/cheilostomata/torquatellidae/torqduo.html	1		TORQUATELLIDAE
2137	Thalamoporella sibogae	Soule, Soule & Chaney, 1992	168	1	ZR1993/94-086		23/05/2010	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalsib.html	1		THALAMOPORELLIDAE
2144	Thalamoporella komodoensis	Winston & Heimberg, 1986	168	1	ZR1986-185		23/05/2010	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_komodoensis.html	1		THALAMOPORELLIDAE
1445	Thalamoporella hamata	Harmer, 1926	168	1	ZR1926		23/05/2010	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_hamata.html	1		THALAMOPORELLIDAE
118	Thalamoporella granulata	Levinsen, 1909	168	1			23/05/2010	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_granulata.html	1		THALAMOPORELLIDAE
16651	Thalamoporella gracilata	Tilbrook, Hayward & Gordon, 2001	168	1	ZR2001-093		23/05/2010	Thalamoporella	bryozoa.net/cheilostomata/thalamoporellidae/thalamoporella_gracilata.html	1		THALAMOPORELLIDAE
190	Thairopora calcarata	Hayward & Ryland, 1995	168	1	ZR1995/96-045		23/05/2010	Thairopora	bryozoa.net/cheilostomata/thalamoporellidae/thairopora_calcarata.html	1		THALAMOPORELLIDAE
1719	Tetraplaria immersa	(Haswell, 1881)	272	1			23/05/2010	Tetraplaria	bryozoa.net/cheilostomata/tetraplariidae/tetrimm.html	1		TETRAPLARIIDAE
6129	Tetraplaria ventricosa	(Haswell, 1881)	272	1	=T.mutica Busk		23/05/2010	Tetraplaria	bryozoa.net/cheilostomata/tetraplariidae/tetraplaria_ventricos.html	1		TETRAPLARIIDAE
1720	Cigclisula occlusa	(Busk, 1884)	319	1	ZR1929		23/05/2010	Cigclisula	bryozoa.net/cheilostomata/stomachetosellidae/cigcocc.html	1		COLATOOECIIDAE
207	Cigclisula fruticosa	Hayward & Ryland, 1995	319	1	ZR1995/96-045		23/05/2010	Cigclisula	bryozoa.net/cheilostomata/stomachetosellidae/cigclisula_fruticosa.html	1		COLATOOECIIDAE
6869	Steginoporella porteri	(Maplestone, 1909)	166	0	ZR1979-087; check*		23/05/2010	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_porteri.html	1		STEGINOPORELLIDAE
1435	Steginoporella mandibulata	Harmer, 1926	166	1	ZR1926		23/05/2010	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_mandibulata.html	1		STEGINOPORELLIDAE
20043	Steginoporella crassa	(Haswell, 1881)	166	1			23/05/2010	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_crassa.html	1		STEGINOPORELLIDAE
1298	Steginoporella buskii	Harmer, 1900	166	1			23/05/2010	Steginoporella	bryozoa.net/cheilostomata/steginoporellidae/steginoporella_buskii.html	1		STEGINOPORELLIDAE
1437	Labioporella spatulata	Harmer, 1926	166	1	ZR1926		23/05/2010	Labioporella	bryozoa.net/cheilostomata/steginoporellidae/labioporella_spatulata.html	1		STEGINOPORELLIDAE
208	Smittoidea incucula	Hayward & Ryland, 1995	266	1	ZR1995/96-045		23/05/2010	Smittoidea	bryozoa.net/cheilostomata/smittinidae/smittoidea_incucula.html	1		SMITTINIDAE
20003	Smittoidea dentio	Tilbrook, 2006	266	1			23/05/2010	Smittoidea	bryozoa.net/cheilostomata/smittinidae/smittoidea_dentio.html	1		SMITTINIDAE
20002	Smittina unicus	Tilbrook, 2006	266	1			23/05/2010	Smittina	bryozoa.net/cheilostomata/smittinidae/smittina_unicus.html	1		SMITTINIDAE
150	Smittoidea pacifica	Soule & Soule, 1973	266	1	ZR1973-163		23/05/2010	Smittoidea	bryozoa.net/cheilostomata/smittinidae/smitpac.html	1		SMITTINIDAE
156	Pleurocodonellina signata	(Waters, 1889)	266	1			23/05/2010	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleusig.html	1		SMITTINIDAE
3262	Pleurocodonellina soulesi	(Scholz & Cusi, 1993)	266	1	ZR1993/94-082		23/05/2010	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_soulesi.html	1		SMITTINIDAE
20000	Pleurocodonellina microperforata	Tilbrook, 2006	266	1			23/05/2010	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_microperforata.html	1		SMITTINIDAE
20001	Pleurocodonellina macroperforata	Tilbrook, 2006	266	1			23/05/2010	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_macroperforata.html	1		SMITTINIDAE
209	Pleurocodonellina laciniosa	Hayward & Ryland, 1995	266	1	ZR1995/96-045		23/05/2010	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_laciniosa.html	1		SMITTINIDAE
157	Pleurocodonellina clavicula	Ryland & Hayward, 1992	266	1	ZR1992/93-085		23/05/2010	Pleurocodonellina	bryozoa.net/cheilostomata/smittinidae/pleurocodonellina_clavicula.html	1		SMITTINIDAE
155	Parasmittina turbula	Ryland & Hayward, 1992	266	1	ZR1992/93-085		23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_turbula.html	1		SMITTINIDAE
19996	Parasmittina trunculata	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_trunculata.html	1		SMITTINIDAE
19995	Parasmittina rimula	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_rimula.html	1		SMITTINIDAE
19998	Parasmittina parvitatis	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_parvitatis.html	1		SMITTINIDAE
19994	Parasmittina ovilirata	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_ovilirata.html	1		SMITTINIDAE
153	Parasmittina onychorrhyncha	Ryland & Hayward, 1992	266	1	ZR1992/93-085		23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_onychorrhyncha.html	1		SMITTINIDAE
19999	Parasmittina inalienata	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_inalienata.html	1		SMITTINIDAE
151	Parasmittina galerita	Ryland & Hayward, 1992	266	1	ZR1992/93-085		23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_galerita.html	1		SMITTINIDAE
19993	Parasmittina exiguiuncinata	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_exiguiuncinata.html	1		SMITTINIDAE
19997	Parasmittina dependeo	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_dependeo.html	1		SMITTINIDAE
20039	Parasmittina aculeata	Tilbrook, 2006	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parasmittina_aculeata.html	1		SMITTINIDAE
154	Parasmittina serrula	Soule & Soule, 1973	266	1	ZR1973-163		23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/paraser.html	1		SMITTINIDAE
101	Parasmittina parsevalii	(Audouin, 1826)	266	1			23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parapar2.html	1		SMITTINIDAE
100	Parasmittina hastingsae	Soule & Soule, 1973	266	1	ZR1973-163		23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/parahas.html	1		SMITTINIDAE
14026	Parasmittina areolata	(Canu & Bassler, 1927)	266	1	ZR1928		23/05/2010	Parasmittina	bryozoa.net/cheilostomata/smittinidae/paraare.html	1		SMITTINIDAE
148	Stylopoma viride	(Thornely, 1905)	250	1			23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_viride.html	1		SCHIZOPORELLIDAE
16641	Stylopoma vilaensis	Tilbrook, 2001	250	1	ZR2001-092		23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_vilaensis.html	1		SCHIZOPORELLIDAE
16640	Stylopoma velatum	Tilbrook, 2001	250	1	ZR2001-092		23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_velatum.html	1		SCHIZOPORELLIDAE
16639	Stylopoma varus	Tilbrook, 2001	250	1	ZR2001-092		23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_varus.html	1		SCHIZOPORELLIDAE
147	Stylopoma thornelyi	(Livingstone, 1926)	250	1			23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_thornelyi.html	1		SCHIZOPORELLIDAE
16636	Stylopoma novum	Tilbrook, 2001	250	1	ZR2001-092		23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_novum.html	1		SCHIZOPORELLIDAE
16635	Stylopoma mauritiana	Tilbrook, 2001	250	1	ZR2001-092		23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_mauritiana.html	1		SCHIZOPORELLIDAE
20008	Stylopoma horarium	Tilbrook, 2006	250	1			23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_horarium.html	1		SCHIZOPORELLIDAE
205	Stylopoma herodias	Hayward & Ryland, 1995	250	1	ZR1995/96-045		23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_herodias.html	1		SCHIZOPORELLIDAE
146	Stylopoma duboisii	(Audouin, 1826)	250	1			23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_duboisii.html	1		SCHIZOPORELLIDAE
20007	Stylopoma consobrina	Tilbrook, 2006	250	1			23/05/2010	Stylopoma	bryozoa.net/cheilostomata/schizoporellidae/stylopoma_consobrina.html	1		SCHIZOPORELLIDAE
20006	Schizoporella gibsonensis	Tilbrook, 2006	250	1			23/05/2010	Schizoporella	bryozoa.net/cheilostomata/schizoporellidae/schizoporella_gibsonensis.html	1		SCHIZOPORELLIDAE
652	Schizoporella dunkeri	(Reuss, 1848)	250	1			23/05/2010	Schizoporella	bryozoa.net/cheilostomata/schizoporellidae/schizoporella_dunkeri.html	1		SCHIZOPORELLIDAE
651	Schizoporella errata	(Waters, 1878)	250	1			23/05/2010	Schizoporella	bryozoa.net/cheilostomata/schizoporellidae/schierr.html	1		SCHIZOPORELLIDAE
1318	Savignyella lafontii	(Audouin, 1826)	298	1			23/05/2010	Savignyella	bryozoa.net/cheilostomata/savignyellidae/savilaf.html	1		SAVIGNYELLIDAE
1838	Psilopsella uniseriata	Canu & Bassler, 1927	218	1	ZR1927		23/05/2010	Psilopsella	bryozoa.net/cheilostomata/romancheinidae/psiluni.html	1		ROMANCHEINIDAE
1402	Nellia tenella	(Lamarck, 1816)	138	1			23/05/2010	Nellia	bryozoa.net/cheilostomata/quadricellariidae/nellocu.html	1		QUADRICELLARIIDAE
109	Nellia tenuis	Harmer, 1926	138	1	ZR1926		23/05/2010	Nellia	bryozoa.net/cheilostomata/quadricellariidae/nellia_tenuis.html	1		QUADRICELLARIIDAE
185	Nellia simplex	Busk, 1852	138	1			23/05/2010	Nellia	bryozoa.net/cheilostomata/quadricellariidae/nellia_simplex.html	1		QUADRICELLARIIDAE
1842	Triphyllozoon tenue	(Kirkpatrick, 1888)	274	1			23/05/2010	Triphyllozoon	bryozoa.net/cheilostomata/phidoloporidae/tripten.html	1		PHIDOLOPORIDAE
