unknown-id1	unknown-id2	name	rank	unknown-id	authority-date	authority-name	date	comment
21062	2164	Avicella	0	20124	1848	Gordon	12/31/2006	no type selected; 
21141	2164	Bifrons	0	20295	1860	Gordon	12/31/2006	unnecessary replacement for Dimetopia; 
21367	2164	Hemeschara	0		1850	Gordon	12/31/2006	No type species designated; 
41011	2164	Meliceritina	0	20563	1839	Gordon	12/31/2006	introduced Meliceritina to replace Melicerita; 
21242	2164	Patorporella	0	20582	2003	Gordon	12/31/2006	subgenus & genus have same type species, but only single spegies in the genus as a whole; 
21260	2164	Reptoflustra	0		1851	Gordon	12/31/2006	no type species designated; 
20841	2164	Schizotrema	0	20841	1948	Lidgard	12/31/2006	secondary homonym of Schizotrema Calman 1911 (arthropod); 
21316	2164	Sclerodomus	0	20843	1984	Gordon	12/31/2006	
21333	2164	Cumulipora	1	20884	1835	Gordon	12/31/2006	
21257	2164	Escharellina	1	20989	1852	Gordon	12/31/2006	
21373	2164	escharellina	1	21373	2007	lidgard	12/31/2006	
21074	2164	Filiflustrella	1	20071	1853	Gordon	12/31/2006	
21258	2164	Multiporina	1	20834	1852	Gordon	12/31/2006	
21224	2164	Onchopora	1	20943	1855	Gordon	12/31/2006	3 species introduced by Busk, but no type fixation until Canu & Bassler 1929 invalidly selected a species NOT originally included by Busk. See discussion Gordon (1989, p. 65); 
21162	2164	Porellina	1	20989	1853	Gordon	12/31/2006	
21259	2164	Quadriflustrina	1	20933	1853	Gordon	12/31/2006	
21048	2164	Reptocelleporaria	1	20073	1852	Gordon	12/31/2006	
20786	2120	reptocelleporaria	1	20786	1852	lidgard	12/31/2006	
21261	2164	Reptoporellina	1	20782	1853	Gordon	12/31/2006	
21262	2164	Semiescharella	1	20455	1852	Gordon	12/31/2006	
21135	2164	Porinula	2		1916	Gordon	12/31/2006	no type fixation; 
21152	2164	Cyphonautes	3	20328	1833	Gordon	12/31/2006	
21356	2164	Enallipora	3		1862	Gordon	12/31/2006	Probably unrecognisable. Possibly = Smittina in Bassler (1935). Not included in Bassler (1953); 
21357	2164	Escharinella	3		1852	Gordon	12/31/2006	type missing; 
21358	2164	Filiflustra	3		1853	Gordon	12/31/2006	indeterminate; not enough information in type specimen; 
21359	2164	Filiflustrellaria	3		1853	Gordon	12/31/2006	indeterminate; not enough information in type specimen; 
21320	2164	Licornia	3	20848	1850	Gordon	12/31/2006	
21360	2164	Multescharinella	3		1852	Gordon	12/31/2006	Reuss types lost; 
21029	2164	Multiporina	3	20013	1862	Gordon	12/31/2006	
21253	2164	Myrioporina	3	20602	1830	Gordon	12/31/2006	
21248	2164	Myriozoon	3	20602	1834	Gordon	12/31/2006	
21249	2164	Myriozoum	3	20602	1750	Gordon	12/31/2006	
21361	2164	Polyeschara	3		1867	Gordon	12/31/2006	not defined?; 
21363	2164	Reptoflustrina	3		1853	Gordon	12/31/2006	type missing; 
20798	2164	Reussina	3	20798	1962	Lidgard	12/31/2006	
21321	2164	Savignella	3	20848	1850	Gordon	12/31/2006	
21364	2164	Semiescharellina	3		1852	Gordon	12/31/2006	type missing; 
21365	2164	Semiflustra	3		1852	Gordon	12/31/2006	not figured, type missing; 
21366	2164	Semiporina	3		1852	Gordon	12/31/2006	not figured, type missing; 
21368	2164	Tata	3		1849	Gordon	12/31/2006	unrecogniable; 
209	100	Tubuliporata	36	200	1847	Lidgard	12/31/2006	
1133	1776	streblotrypidae	85		1999			synonym of hyphasmoporidae
1322	315	fascigeridae	85	1334	1853	lidgard	12/31/2006	
30019	1360	berenicea	95	30019	1821	lidgard	12/31/2006	
30024	1319	bidiastopora	95	30024	1849	lidgard	12/31/2006	
20137	2025	caloporella	95	20137	1895	lidgard	12/31/2006	
20159	2025	catenicellopsis	95	20159	1880	lidgard	12/31/2006	
30134	1334	defrancia	95	30134	1825	lidgard	12/31/2006	
30142	1316	desmepora	95	30142	1850	lidgard	12/31/2006	
44003	1352	dichospiropora	95	44003	1970	lidgard	12/31/2006	
10030	1464	echinella	95	10030	1901	lidgard	12/31/2006	
10032	1454	ellipsopora	95	10032	1933	lidgard	12/31/2006	
30215	1304	heteroporella	95	30215	1859	lidgard	12/31/2006	
20453	2107	hippopetraliella	95	20453	1936	lidgard	12/31/2006	
30531	1350	laterocava	95	30531	1854	lidgard	12/31/2006	
30242	1321	laterotubigera	95	30242	1853	lidgard	12/31/2006	
30533	1361	meandrocavea	95	30533	1853	lidgard	12/31/2006	
30538	1302	multiclausa	95	30538	1853	lidgard	12/31/2006	
30539	1356	multicrisina	95	30539	1853	lidgard	12/31/2006	
10058	1464	norodoniana	95	10058	1888	lidgard	12/31/2006	
30292	1319	notoplagioecia	95	30292	1922	lidgard	12/31/2006	
20635	2018	omoiosia	95	20635	1927	lidgard	12/31/2006	
30295	1340	orosopora	95	30295	1920	lidgard	12/31/2006	
20721	2017	porelloides	95	20721	1979	lidgard	12/31/2006	
20725	2107	poripetraliella	95	20725	1936	lidgard	12/31/2006	
20740	2026	pseudocellaria	95	20740	1928	lidgard	12/31/2006	
20769	2109	radulina	95	20769	1902	lidgard	12/31/2006	
30561	2101	reptocea	95	30561	1854	lidgard	12/31/2006	
30571	1316	semicytis	95	30571	1854	lidgard	12/31/2006	
30577	1343	semimultisparsa	95	30577	1853	lidgard	12/31/2006	
30413	1304	semizonopora	95	30413	1863	lidgard	12/31/2006	
20864	2107	serripetraliella	95	20864	1936	lidgard	12/31/2006	
20899	2066	stenopsella	95	20899	1953	lidgard	12/31/2006	
44002	1355	tervidmonea	95	44002	1995	lidgard	12/31/2006	
44031	2164	Voigtiella	95	30480	1974	Gordon	12/31/2006	
30590	2164	Zonatula	95	30214	1830	Gordon	12/31/2006	
30485	1345	zonatula	95	30485	1881	lidgard	12/31/2006	
21061	2164	Acamarchis	96	20124	1816	Gordon	12/31/2006	
21199	2164	Acanthionella	96	20471	1917	Gordon	12/31/2006	
21121	2164	Acanthocella	96	20219	1917	Gordon	12/31/2006	
21055	2164	Acanthodesia	96	20096	1920	Gordon	12/31/2006	
21283	2164	Acropora	96	20724	1869	Gordon	12/31/2006	
21284	2164	Acroporana	96	20724	1928	Gordon	12/31/2006	
21033	2164	Aeteopsis	96	20020	1862	Gordon	12/31/2006	
21133	2164	Agalmatozoum	96	20249	1957	Gordon	12/31/2006	
21201	2164	Alloeoflustra	96	20486	1994	Gordon	12/31/2006	
21211	2164	Allorhynchozoon	96	20539	2001	Gordon	12/31/2006	
21275	2164	Alysidota	96	20613	1856	Gordon	12/31/2006	
21276	2164	Alysidotella	96	20613	1928	Gordon	12/31/2006	
21038	2164	Anderiola	96	20030	1928	Gordon	12/31/2006	
21039	2164	Anderssonia	96	20030	1914	Gordon	12/31/2006	
21034	2164	Anguinaria	96	20020	1816	Gordon	12/31/2006	
21343	2164	Arborella	96	20943	1914	Gordon	12/31/2006	
21277	2164	Atacama	96	20706	1980	Gordon	12/31/2006	
21322	2164	Australiana	96	20853	1966	Gordon	12/31/2006	
21063	2164	Avicularia	96	20124	1848	Gordon	12/31/2006	
