TAXON-ID	RANK
3039	Silurian, Recent
3773	Silurian, Recent
13589	Cenozoic, Cretaceous, Jurassic, Recent
13852	Jurassic, Recent
13905	Cenozoic, Jurassic, Recent
14299	Jurassic, Recent
15367	Cenozoic, Cretaceous, Recent
16286	Cenozoic, Cretaceous, Recent
17045	Cenozoic, Cretaceous, Recent
19358	Cretaceous, Recent
20920	Cenozoic, Recent
20934	Cenozoic, Recent
20935	Cenozoic, Recent
20937	Cenozoic, Recent
20942	Cenozoic, Recent
20951	Cenozoic, Recent
20957	Cenozoic, Recent
20959	Cenozoic, Recent
20961	Cenozoic, Recent
20965	Cenozoic, Recent
20967	Cenozoic, Recent
20968	Cenozoic, Recent
20978	Cenozoic, Recent
20985	Cenozoic, Recent
20987	Cenozoic, Recent
20988	Cenozoic, Recent
20992	Cenozoic, Recent
20994	Cenozoic, Recent
20997	Cenozoic, Recent
21019	Cenozoic, Recent
21020	Cenozoic, Recent
21024	Cenozoic, Recent
21045	Cenozoic, Recent
21048	Cenozoic, Recent
21049	Cenozoic, Recent
21050	Cenozoic, Recent
21051	Cenozoic, Recent
21062	Cenozoic, Recent
21064	Cenozoic, Recent
21071	Cenozoic, Recent
21080	Cenozoic, Recent
21081	Cenozoic, Recent
21098	Cenozoic, Recent
21105	Cenozoic, Recent
21111	Cenozoic, Recent
21119	Cenozoic, Recent
21138	Cenozoic, Recent
21142	Cenozoic, Recent
21171	Cenozoic, Recent
21179	Cenozoic, Recent
21192	Cenozoic, Recent
21199	Cenozoic, Recent
21202	Cenozoic, Recent
21204	Cenozoic, Recent
21205	Cenozoic, Recent
21216	Cenozoic, Recent
21218	Cenozoic, Recent
21221	Cenozoic, Recent
21229	Cenozoic, Recent
21230	Cenozoic, Recent
21247	Cenozoic, Recent
21299	Cenozoic, Recent
21300	Cenozoic, Recent
21300	Cenozoic, Recent
21327	Cenozoic, Recent
21360	Cenozoic, Recent
21361	Cenozoic, Recent
21398	Cenozoic, Recent
21408	Cenozoic, Recent
21409	Cenozoic, Recent
21416	Cenozoic, Recent
21417	Cenozoic, Recent
21418	Cenozoic, Recent
21428	Cenozoic, Recent
21469	Cenozoic, Recent
21474	Cenozoic, Recent
21476	Cenozoic, Recent
21485	Cenozoic, Recent
21494	Cenozoic, Recent
21500	Cenozoic, Recent
21503	Cenozoic, Recent
21552	Cenozoic, Recent
21599	Cenozoic, Recent
21603	Cenozoic, Recent
21604	Cenozoic, Recent
21611	Cenozoic, Recent
21614	Cenozoic, Recent
21620	Cenozoic, Recent
21626	Cenozoic, Recent
21627	Cenozoic, Recent
21632	Cenozoic, Recent
21647	Cenozoic, Recent
21666	Cenozoic, Recent
21667	Cenozoic, Recent
21684	Cenozoic, Recent
21691	Cenozoic, Recent
21701	Cenozoic, Recent
21704	Cenozoic, Recent
21706	Cenozoic, Recent
21713	Cenozoic, Recent
21714	Cenozoic, Recent
21716	Cenozoic, Recent
21734	Cenozoic, Recent
21748	Cenozoic, Cretaceous, Recent
21754	Cenozoic, Recent
21758	Cenozoic, Recent
21764	Cenozoic, Recent
21768	Cenozoic, Recent
21772	Cenozoic, Recent
21777	Cenozoic, Recent
21798	Cenozoic, Recent
21891	Cenozoic, Recent
21943	Cenozoic, Recent
21951	Cenozoic, Recent
21966	Cenozoic, Recent
21968	Cenozoic, Recent
21989	Cenozoic, Recent
22048	Cenozoic, Recent
22055	Cenozoic, Recent
22069	Cenozoic, Recent
22097	Cenozoic, Recent
22098	Cenozoic, Recent
22108	Cenozoic, Recent
22111	Cenozoic, Recent
22176	Cenozoic, Recent
22179	Cenozoic, Recent
22198	Cenozoic, Recent
22201	Cenozoic, Recent
22216	Cenozoic, Recent
22219	Cenozoic, Recent
22223	Cenozoic, Recent
22225	Cenozoic, Recent
22233	Cenozoic, Recent
22287	Cenozoic, Recent
22307	Cenozoic, Recent
22308	Cenozoic, Recent
22309	Cenozoic, Recent
22350	Cenozoic, Recent
22351	Cenozoic, Recent
22360	Cenozoic, Recent
22361	Cenozoic, Recent
22363	Cenozoic, Recent
22367	Cenozoic, Recent
22388	Cenozoic, Recent
22408	Cenozoic, Recent
22410	Cenozoic, Recent
22415	Cenozoic, Recent
22428	Cenozoic, Recent
22432	Cenozoic, Recent
22432	Cenozoic, Recent
22436	Cenozoic, Recent
22456	Cenozoic, Recent
22563	Cenozoic, Recent
22567	Cenozoic, Recent
22568	Cenozoic, Recent
22575	Cenozoic, Recent
22584	Cenozoic, Recent
22615	Cenozoic, Recent
22625	Cenozoic, Recent
22662	Cenozoic, Recent
22686	Cenozoic, Recent
22706	Cenozoic, Recent
22740	Cenozoic, Recent
22768	Cenozoic, Recent
22795	Cenozoic, Recent
22804	Cenozoic, Recent
22818	Cenozoic, Recent
22855	Cenozoic, Recent
22865	Cenozoic, Recent
22870	Cenozoic, Recent
22877	Cenozoic, Recent
22881	Cenozoic, Recent
22894	Cenozoic, Recent
22943	Cenozoic, Recent
22945	Cenozoic, Recent
22963	Cenozoic, Recent
22964	Cenozoic, Recent
22968	Cenozoic, Recent
22970	Cenozoic, Recent
22972	Cenozoic, Recent
22973	Cenozoic, Recent
22976	Cenozoic, Recent
22978	Cenozoic, Recent
22982	Cenozoic, Recent
22983	Cenozoic, Recent
22986	Cenozoic, Recent
22990	Cenozoic, Recent
22999	Cenozoic, Recent
23006	Cenozoic, Recent
23025	Cenozoic, Recent
23033	Cenozoic, Recent
23036	Cenozoic, Recent
23061	Cenozoic, Recent
23064	Cenozoic, Recent
23071	Cenozoic, Recent
23082	Cenozoic, Recent
23102	Cenozoic, Recent
23117	Cenozoic, Recent
23118	Cenozoic, Recent
23119	Cenozoic, Recent
23128	Cenozoic, Recent
23135	Cenozoic, Recent
23142	Cenozoic, Recent
23143	Cenozoic, Recent
23144	Cenozoic, Recent
23163	Cenozoic, Recent
23181	Cenozoic, Recent
23184	Cenozoic, Recent
23186	Cenozoic, Recent
23189	Cenozoic, Recent
23206	Cenozoic, Recent
23207	Cenozoic, Recent
23210	Cenozoic, Recent
23213	Cenozoic, Recent
23215	Cenozoic, Recent
23252	Cenozoic, Recent
23270	Cenozoic, Recent
23271	Cenozoic, Recent
23277	Cenozoic, Recent
