ARTICLE-ID	YEAR	ARTICLE-TEXT
3307	1921	1921. Report on a collection of Bryozoa from the Bay of Bengal and other eastern seas. Records of the Indian Museum. 22: 33-65.
3308	1910	1910. The cyclostomatous Bryozoa of the west coast of North America. Proceedings of the California Academy of Sciences. 6: 225-284.
3309	1908	1908. The Incrusting chilostomatous Bryozoa of the west coast of North America. Proceedings of the California Academy of Sciences. 4: 253-344.
3310	1905	1905. Non-incrusting chilostomatous Bryozoa of the west coast of North America. Proceedings of the California Academy of Sciences. 3: 235-320.
3311	1903	1903. Embryology and embryonic fission in the genus Crisia. Univ. Calif. Publ. Zool.. 1: 115-156.
3312	1902	1902. Some observations on Ascorhiza orientalis Fewkes. Proceedings of the California Academy of Sciences. 3: 99-107.
3313	1902	1902. Some observations on Ascorhiza occidentalis Fewkes, and related Alcyonidia. Proc. Calif. Acad. Sci.. 3: 99-108.
3314	1900	1900. Papers from the Harriman Alaska Expedition. vi, The Bryozoa. Proc Washington Acad Sci. 2: 315-340.
3315	1900	1900. Studies in Pacific Coast Entoprocta. Proceedings of the California Academy of Sciences. 2: 232-348.
3316	1946	1946. On the metamorphsis of Bugula californica. Miscellaneous Reports of the Research Institute for Natural Resources. Studies on fouling Bryozoa, No. 3: 121-128.
4327	1971	1971. Comparison of composition of oceanic copepods from different depths. Comp. Biochem. Physiol.. 40B: 275-281.
4330	1979	1979. The bryozoan family Hippothoidae (Cheilostomata Ascophora), with emphasis on the genus Hippothoa. Dissertation Abstracts International B Sciences And Engineering. 40: 140.
4331	1976	1976. Middle Pliocene temperature implications based on the Bryozoa Hippothoa (Cheilostomata-Ascophora). Journal of Paleontology. 50: 1143-1149.
1066	1908	1908. Zur Kenntnis der Bryozoen von West Grönland. Annual Report of Zoological Museum Academy of Sciences, St Petersburg. 12: 546-554.
1278	1914	1914. Die Bryozoen der Deutschen Südpolar-Expedition 1901-1903. Deutsch Südpolar-Expedition Zoology. 7: 600-678.
5306	1964	1964. Bryozoa from Franz Joseph Land. Trudÿ arkt. antarkt. nauchno-issled. Inst.. 259: 181-190.
5307	1961	1961. Spisok vilov mschanok (Bryozoa) dal'nevostochüch morei SSSR. Issled. dalnevost. Mor. SSSR Akad. Nauk. Soyuz. SSSR Zool. Inst.. 7: 118-143.
5308	1953	1953. Bryozoa. [In: Uschakov, P. V. Fauna of the Ohkotsk Sea and conditions of its existence.]. Publ. Acad. Sci. U.S.S.R.. : 169-179.
5309	1952	1952. Bryozoa of the Chukotsk Sea and Behring Strait. The N.E. borders of the U.S.S.R. Vol. 1. Chukotsk Sea. Publ. Acad. Sci. U.S.S.R.. II: 138-168.
5310	1949	1949. Bryozoa [In: Zhadina, V. I. Life of the Freshwaters of the U.S.S.R.]. Acad. Sci. U.S.S.R. Zool. Mus. Leningrad. 2: 200-212.
5311	1928	1928. Bryozoa [In: Derjugin, K. M. The fauna of the White Sea and the conditions of its existence.]. Invest. Seas U.S.S.R.. no. 7-8: 253-259.
5312	1915	1915. Bryozoa [In: Derjugin, K. M. The fauna of the Bay of Kolsk and the conditions of its existence.]. Publ. Imp. Acad. Sci.. 34: 376-393.
5313	1914	1914. Die bryozoen der deutschen Südpolar-Expedition 1901-1903, I. Die Familien Aetidae, Cellularidae, Bicellaridae, Farciminaridae, Flustridae, Membraniporidae und Cribrilinidae. Deutsche Südpolar-Expedition 15, Zoologie. 7: 599-678.
5314	1896	1896. An account of the natural history of freshwater Polyzoa in the neighbourhood of the town of Kazan. Typo-Lithogr. imp. Univ.. : 1-103.
5315	1929	1929. Die Bryozoen des sibirschen Eismeers. Rab Murm biol st. 3: 1-33.
5316	1907	1907. Kritische Erörterungen zu den Bryozoologischen  Arbeiten von K.Chworostansky. Archiv für Naturgeschichte. 1: 181-204.
5317	1906	1906. Ergänzungsbericht über die van der "Olga" expeditions gesammelten Bryozoen. Wiss Meeresunters NF. VII: 31-55.
5318	1955	1955. Novye i maloizvestnye mshanki (Bryozoa) iz-Severnogo Ledovitogo okeana. (New and little known Bryozoa from the northern Ocean). II. Tr Zool inst Akad Nauk, SSSR. 18: 63-99.
5319	1953	1953. K rasprostraneniyu mshanok roda Kinetoskias Danielssen. Tr Zool inst Akad Nauk, SSSR. 13: 210-215.
5320	1946	1946. Novye i maloizvestnye mshanki iz severnogo Ledovitogo okeana (New and little-known species of Bryozoa from the Arctic Ocean). Trudy dreifuyushchei ekspeditsya Glavsevmorputi na l/s G.Sedov. 1937-40. 3: 194-223.
2689	1879	1879. Recensio animalium Bryozoorume e mari arctico, quae ad paeninsulam Kola, in itinerare anno 1877. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 35: 19-32.
2690	1879	1879. Recensio systematica animalium Bryozoorum, quae in iterinibus, annis 1875 et 1876 ad insulas Novaja Semlja. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 35: 11-26.
2691	1876	1876. Kritisk förteckning öfver Skandinaviens Hafs-Bryozoer. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 24: 3-230.
2692	1873	1873. Floridan Bryozoa collected by Count L.F. de Pourtales, Part 2. Kongliga Svenska Vetenskaps-Akademiens Handlingar. 11: 1-83.
2693	1872	1872. Floridan Bryozoa collected by Count L.F. de Pourtales, Part 1. Kongliga Svenska Vetenskaps-Akademiens Handlingar. 10: 1-20.
2694	1872	1872. Kritisk Förteckning öfver Skandinavien Hafs-Bryozoer. Part V. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 28: 1115-1134.
2695	1872	1872. Floridan bryozoa collected by Count L. F. de Pourtales, Part I.. Kongl. Svenska vetensk. Akad. Handl.. 10: 3-20.
2696	1871	1871. Kritisk förteckning öfver Skandinaviens Hafs-Bryozoer. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 9: 1115-1134.
2697	1868	1868. Bryozoa marina in regionibus arcticis et borealibus viventia recensuit. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 24: 443-487.
2698	1868	1868. Kritisk Förteckning öfver Skandinaviens Hafs-Bryozoer: Pt III. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 24: 279-429.
2699	1868	1868. Kritisk förteckning öfver Skandinaviens Hafs-Bryozoer. IV. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 25: 3-230.
2700	1867	1867. Kritisk förteckning öfver Skandinaviens Hafs-Bryozoer. II. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 23: 395-534.
2701	1865	1865. Kritisk Förteckning öfver Skandinaviens Hafs-Bryozoer: Pt I. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar. 22: 115-149.
1073	1965	1965. Problematica aus dem inner-alpinen Tertiär Pseudarcella Spandel, emend. und Bicornifera n.g.. Neues Jahrbuch für Geologie und Paläontologie Monatshefte. 1965: 18-29.
2135	1949	1949. Révision des Bryozoaires néogènes du Bassin d'Aquitaine et essai de classification. Mémoires de la Société Géologique de France, n.s.. 28: 1-153.
2136	1953	1948-53 [1953]. Sur un genre nouveau appartenant à la famille des Schizoporellidae. P. V. Soc. Sci. Bordeaux. : 16-17.
5251	1906	1906. Eine Süsswasserbryozö (Plumatella) aus Java. Mitteilungen aus dem Naturhistorischen Museum. 23: 143-146.
5252	1892	1892. Die deutschen Süsswasser-Bryozöen. II. Entwickelungs-geschichtlicher Teil. Abhandlungen aus dem Gebiete der Naturwissenschaften herausgegeben vom Naturwissenschaftlichen Verin in Hamburg. 12: 1-67.
5253	1887	1887. Die deutschen Süsswater-Bryozoen. Eine Monographie. I. Antomisch-systematomisch Teil. Abhandlungen aus dem Gebiete der Naturwissenschaften herausgegeben vom Naturwissenschaftlichen Verin in Hamburg. 10: 1-168.
5957	1932	1932. Bryozoen der deutschen Tiefsee-expedition. 1 Teil. Wissensch ergegbn deutsch Tiefsee-Exped. 21: 319-380.
1062	1840	1840. Description of a new genus of British Zoophyte. Annals and Magazine of Natural History. 5: 272-274.
3716	1881	1881. Eine neue Bryozoe der Adria, Gemellaria (?) avicularia. Jahresbericht der Westfälischen Provinzialvereins für Wissenschaft und Kunst, Münster pro 1880. 9: 43-48.
1094	1893	1893. Bryozoaires du Sénonien de Sainte-Paterne, de Lavardin, et de la Ribochère. Bulletin de la Société Belge de Géologie. 6: 200-217.
1098	1895	1895. Les Bryozoaires du Sénonien de la carrière de l'Arche de Lè, près Chartres. Bulletin de la Société Belge de Géologie. 8: 131-140.
1099	1888	1888. Sur l'âge de la partie supérieure du tufeau de Ciply. Bulletin de la Société‚ Belge de Géologie. 1: 204-207.
1185	1894	1894. Nouveaux bryozoaires du Crétacé du Limbourg. Bulletin de la Société Belge de Géologie. 7: 172-189.
