# ID
#   Unknown id number
# NUMBER
#   Unknown number
ID	AUTHOR	YEAR	TEXT	TITLE	NUMBER	PAGES
1001	E. Buge and G. d. C. B. Muniz	1974	Lunulites (Heteractis) barbosae - nouvelle espece de bryozoaires lunulitiformes (Bryozoa, Cheilostomata) du Paléocène du Nord-Est du Brézil	Annales de Paléontologie	60	191-201
1002	K. Brood	1975	Cyclostomatous Bryozoa from the Silurian of Gotland	Stockholm Contributions in Geology	28	45-119
1003	J.-L. d'Hondt	1975	Bryozoaires Cténostomes et Cheilostomes (Cribrimorphes et Escharellidae exceptés) provenant des dragages de la campagne océanographique Biaçores du "Jean Charcot"	Bulletin du Muséum national d'histoire naturelle	299	553-600
1004	J.-L. d'Hondt	1973	Bryozoaires de la Campagne de la Thalassa (3-12 aôut 1967)	Bulletin du Muséum national d'histoire naturelle	120	365-386
1005	F. Prantl	1938	Erster Fund von Bryozoen in dem karpathischen Rhät	Centralbl Min Geol und Pal Abt B Stuttgart	B7	262-264
1006	E. O. Ulrich	1893 (1895)	On Lower Silurian Bryozoa of Minnesota	Minnesota Geology and Natural History	3	96-332
1007	K. J. Tilbrook and P. L. Cook	2004	Petraliellidae Harmer, 1957 (Bryozoa: Cheilostomata) from Queensland, Australia	Systematics and Biodiversity	2	319-339
1008	H. De Blauwe	2002	Determinatie en verspreiding van Tricellaria inopinata d'Hondt & Occhipinti Ambrogi (Bryozoa, Cheilostomatida), een recente immigrant uit her noorden van de Stille Oceaan	Zeepaard	62	73-88
1009	H. I. Moyano G.	1999	El genero Crisidia Milne-Edwards 1838 (Bryozoa Cyclostomatida) en aguas antarcticas con la descripcion de una especie nueva	Boletin de la Sociedad de biologia de Concepción	70	55-59
1010	A. Occhipinti Ambrogi and J.-L. d'Hondt	1996	Introduzione di specie alloctone in Laguna di Venezia: Celleporella carolinensis Ryland, 1979 (Bryozoa: Ascophora)	Bollettino del Museo Civico di Storia Naturale di Venezia	46	53-61
1011	K. Zágoršek	1994	Comparison between Triassic Trepostomata, Recent Cyclostomata and Paleozoic Trepostomata (Bryozoa); and one question in addition	Acta Universitatis Carolinae Geologica	39084	145-149
1012	H. I. Moyano G.	1986	Bryozoa marinos chilenos VI. Cheilostomata Hippothoidae: South eastern Pacific species	Boletin de la Sociedad de biologia de Concepción	57	89-135
1013	E.-R. Marcus	1984	Notes on some Brazilian Bryozoa Ectoprocta	Boletim Zoologia, Univers. S. Paulo	8	137-143
1014	N. Spjeldnaes	1985	Upper Ordovician bryozoans from Ojl Myr, Gotland, Sweden	Bulletin of the Geological Institutions of the University of Uppsala	10	1-65
1015	W. Baluk and A. Radwanski	1984	Middle Miocene (Badenian) free-living bryozoans from the Vienna Basin	Annalen des naturhistorischen Museums in Wien	86	13-40
1016	G. Busk	1880	List of Polyzoa collected by Captain H.W.Feilden in the North-Polar expedition; with descriptions of new species	Journal of the Linnean Society (zoology) London	15	231-241
1017	F. Bigey	1981	La tranchee de la Lezais: Emsien Superieur du Massif Armoricain. Sedimentologie, paleontologie, stratigraphie. Les bryozoaires	Memoires de la Societe Geologique et Mineralogique de Bretagne	24	109-134
1018	K. Brood	1978	Upper Ordovician Bryozoa from Dalmanitina beds of Borenshult, Östergötland, Sweden	Geologica et Palaeontologica	12	53-72
1019	J. J. Lopez Gappa	1980	Smittina ehrlichi sp. nov. (Cheilostomata, Ascophora) nueva especie de briozoo para el Atlantico suboccidental	Physis, Buenos Aires (A)	38	31-34
1020	T. Monod and J.-L. d'Hondt	1980	A propos d'un échantillon de Conopeum commensale (Kirkpatrick & Metzelaar, 1922) (Bryozoa, Cheilostomata) trouvé dans un site archéologique mauritanien	Bulletin de l'Institut fondamental d'Afrique Noire	40	423-427
1021	L.-h. Lu, B.-f. Nie and J.-l. Zhong	1992	Holocene Cheilostomata (Bryozoa) from the Zengmu Ansha Atoll, South China Sea	Nanhai Studia Marina Sinica = Nan-Hai Hai Yang Ko Hsueh Chi Kan	10	92-112
1022	K. S. Rao and P. N. Ganapati	1974	On the common anascan genus Electra from Visakhapatnam and its vicinity	Proceedings Indian natn. Sci. Acad. (B)	38	220-223
1023	M. Mikoliã	1959	Presence de colonies de Bryozoaires dans les Salissures des coques dans le Nord de ll'Adriatique	General Fisheries Council for the Mediterranean	5	231-236
1024	G. G. Abricosoff	1952	Bryozoa collected by the biological station of Oka (Arbeiten der Biologischen Oka -Station in Nishnij -Nowgorod)	Trav. Sta. Biol. Oka	3	49-57
1025	L. Silén	1942	On spiral growth of the zoaria of certain Bryozoa	Arkiv för Zoologi	34A	1-22
1026	R. S. Bassler	1928	Bryozoa	Geological Survey of Canada	154	143-168
1027	F. Canu	1926	Bryozoaires Bartoniens du bassin Franco-belge	Bulletin de la Societé géologique de France	25	741-761
1028	R. C. Osburn	1944	A survey of the Bryozoa of Chesapeake Bay	Publications of the Chesapeake Biological Laboratory	63	1-55
1029	O. Wolfer	1913	Die Bryozoen des schwabischen Jura	Palaeontographica	60	115-175
1030	S. F. Harmer	1891	On the nature of excretory processes in marine Polyzoa	Quarterly journal of microscopical science	33	123-167
1031	A. Vinogradov	1990	Does the species Erenna Bedoti (Siphonophora, Physonectae) exist?	Zoologischeskii Zhurnal	69	142-144
1032	F. Canu	1919	Etude sur les ovicelles des Bryozoaires cyclostomes (2d contribution)	Bulletin de la Societé géologique de France	17	345-347
