full_name	taxon_author
Abakana	Morozova, 1961
Anomalotoechus	Duncan, 1939
Arcanoporidae	Vine, 1882
Asatkinella	
Atactoporella	Ulrich, 1883
Aviculofenestella	Xia, 2002
Bashkirella	
Batoporoidea	
Beisselinidae	
Bicellariellidae	
Cliocystiramus	
Columnothecidae	
Cribriporella	
Cystoporella	
Dunayeva	
Dybowskites	
Esthonioporella	
Fenestellata	
Fistuliramus	
Ganiella	
Grammanatosoecia	
Hemiulrichostylus	
Hesychoxeniidae	
Hunanopora	
Klugenotus	
Metelipora	
Nemacanthoclema	
Nematoporellidae	
Orbiramus	
Pakrydictya	
Palescharidae	
Permoleioclema	
Phosphasipho	
Phosphotesta	
Phylloporinella	
Polipora	
Qilianopora	
Radioporidae	
Robinella	
Schischcatella	
Semifenestella	
Sibiredictya	
Stephanollina	
Taenioporinidae	
Yunnanopora	
