rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage	taxon_author	accepted_name	unacceptability_reason	comments	details
Phylum	Bryozoa				valid	(Ehrenberg, 1831				
Class	Stenolaemata			Bryozoa (Ehrenberg, 1831	valid	Borg 1926				
Class	Gymnolaemata			Bryozoa (Ehrenberg, 1831	valid	Allman 1856				
Class	Phylactolaemata			Bryozoa (Ehrenberg, 1831	valid	Allman 1856				
Class	x_Bryozoa_fam			Bryozoa (Ehrenberg, 1831	invalid		Bryozoa		dummy taxon for unplaced Families	
Order	Cyclostomata			Stenolaemata Borg 1926	valid	Busk 1852				
Order	Hederellida			Stenolaemata Borg 1926	valid	Bassler 1939				
Order	Cryptostomida			Stenolaemata Borg 1926	valid	Vine 1883				
Order	Cystoporida			Stenolaemata Borg 1926	valid	Astrova 1964				
Order	Trepostomatida			Stenolaemata Borg 1926	valid	Ulrich 1882				
Order	Fenestrida			Stenolaemata Borg 1926	valid	Elias & Condra 1957				
Order	Ctenostomata			Gymnolaemata Allman 1856	valid	Busk 1852				
Order	Cheilostomata			Gymnolaemata Allman 1856	valid	Busk 1852				
Order	Plumatellida			Phylactolaemata Allman 1856	valid	Allman 1856				
Suborder	Inovicellina			Cheilostomata Busk 1852	valid	Jullien 1888				
Suborder	Malacostegina			Cheilostomata Busk 1852	valid	Levinsen 1909				
Suborder	Neocheilostomina			Cheilostomata Busk 1852	valid	d'Hondt 1985				
Suborder	Scrupariina			Cheilostomata Busk 1852	valid	Silén 1941				
Suborder	Articulina			Cyclostomata Busk 1852	valid	Busk 1859				
Suborder	Cancellata			Cyclostomata Busk 1852	valid	Gregory 1896				
Suborder	Cerioporina			Cyclostomata Busk 1852	valid	von Hagenow 1851				
Suborder	Paleotubuliporina			Cyclostomata Busk 1852	valid	Brood 1976				
Suborder	Rectangulata			Cyclostomata Busk 1852	valid	Waters 1887				
Suborder	Tubuliporina			Cyclostomata Busk 1852	valid	Milne-Edwards 1838				
Suborder	Alcyonidiina			Ctenostomata Busk 1852	valid	Johnston 1847				
Suborder	Flustrellidrina			Ctenostomata Busk 1852	valid	d'Hondt 1975				
Suborder	Paludicellina			Ctenostomata Busk 1852	valid	Jebram 1973				
Suborder	Protoctenostamata			Ctenostomata Busk 1852	valid	Jebram 1973				
Suborder	Protoctenostomata			Ctenostomata Busk 1852	valid	Jebram 1973				
Suborder	Stoloniferina			Ctenostomata Busk 1852	valid	Ehlers 1876				
Suborder	Vesicularina			Ctenostomata Busk 1852	valid	Johnston 1847				
Suborder	Victorellina			Ctenostomata Busk 1852	valid	Jebram 1973				
Suborder	Ptilodictyina			Cryptostomida Vine 1883	valid	Astrova & Morozova 1956				
Suborder	Rhabdomesina			Cryptostomida Vine 1883	valid	Astrova & Morozova 1956				
Suborder	Timanodictyina			Cryptostomida Vine 1883	valid	Morozova 1966				
Suborder	Goldfussitrypina			Cryptostomida Vine 1883	valid	Gorjunova 1985				
Suborder	Strebolotrypina			Cryptostomida Vine 1883	valid	Gorjunova 1985				
Suborder	Ceramoporina			Cystoporida Astrova 1964	valid	Bassler 1913				
Suborder	Fistuliporina			Cystoporida Astrova 1964	valid	Astrova 1964				
Suborder	x_Cyclostomata_gen			Cyclostomata Busk 1852	invalid		Cyclostomata Busk 1852		dummy taxon for unplaced Genera	
Suborder	x_Cryptostomida_fam			Cryptostomida Vine 1883	invalid		Cryptostomida Vine 1883		dummy taxon for unplaced Families	
Suborder	x_Ctenostomata_fam			Ctenostomata Busk 1852	invalid		Ctenostomata Busk 1852		dummy taxon for unplaced Families	
Suborder	x_Ctenostomata_gen			Ctenostomata Busk 1852	invalid		Ctenostomata Busk 1852		dummy taxon for unplaced Genera	
Suborder	x_Cheilostomata_gen			Cheilostomata Busk 1852	invalid		Cheilostomata Busk 1852		dummy taxon for unplaced Genera	
Infraorder	Ascophorina			Neocheilostomina d'Hondt 1985	valid	Levinsen 1909				
Infraorder	Flustrina			Neocheilostomina d'Hondt 1985	valid	Smitt 1868				
Infraorder	x_Neocheilostomina_superfam			Neocheilostomina d'Hondt 1985	invalid		Neocheilostomina d'Hondt 1985		dummy taxon for unplaced Superfamilies	
Infraorder	x_Neocheilostomina_fam			Neocheilostomina d'Hondt 1985	invalid		Neocheilostomina d'Hondt 1985		dummy taxon for unplaced Families	
Superfamily	Aeverrillioidea			Stoloniferina Ehlers 1876	valid	d'Hondt 1983				
Superfamily	Alcyonidoidea			Alcyonidiina Johnston 1847	valid	Johnston 1847				
Superfamily	Arachnidioidea			Stoloniferina Ehlers 1876	valid	Jebram 1973				
