rank_name	unit_name1	parent_name
Phylum	Bryozoa	
Class	Stenolaemata	Bryozoa
Order	Cyclostomata	Stenolaemata
Suborder	Paleotubuliporina	Cyclostomata
Family	Corynotrypidae	Paleotubuliporina
Family	Sagenellidae	Paleotubuliporina
Family	Crownoporidae	Paleotubuliporina
Family	Flabellotrypidae	Paleotubuliporina
Family	Kukersellidae	Paleotubuliporina
Suborder	Tubuliporina	Cyclostomata
Family	Stomatoporidae	Tubuliporina
Family	Cinctiporidae	Tubuliporina
Family	Oncousoeciidae	Tubuliporina
Family	Tubuliporidae	Tubuliporina
Family	Multisparsidae	Tubuliporina
Family	Idmoneidae	Tubuliporina
Family	Diploclemidae	Tubuliporina
Family	Celluliporidae	Tubuliporina
Family	Plagioeciidae	Tubuliporina
Family	Eleidae	Tubuliporina
Family	Terviidae	Tubuliporina
Family	Spiroporidae	Tubuliporina
Family	Diastoporidae	Tubuliporina
Family	Annectocymidae	Tubuliporina
Family	Bereniceidae	Tubuliporina
Family	Filisparsidae	Tubuliporina
Family	Mecynoeciidae	Tubuliporina
Family	Diaperoeciidae	Tubuliporina
Family	Entalophoridae	Tubuliporina
Family	Pustuloporidae	Tubuliporina
Family	Phaceloporidae	Tubuliporina
Suborder	Fasciculina	Cyclostomata
Family	Frondiporidae	Fasciculina
Family	Fasciculiporidae	Fasciculina
Family	Fascigeridae	Fasciculina
Family	Theonoidae	Fasciculina
Family	Actinoporidae	Fasciculina
Family	Siphoniotyphlidae	Fasciculina
Family	Hastingsiidae	Fasciculina
Family	Semiceidae	Fasciculina
Suborder	Articulina	Cyclostomata
Family	Crisiidae	Articulina
Family	Crisuliporidae	Articulina
Suborder	Cancellata	Cyclostomata
Family	Horneridae	Cancellata
Family	Stigmatoechidae	Cancellata
Family	Stegohorneridae	Cancellata
Family	Petaloporidae	Cancellata
Family	Calvetiidae	Cancellata
Family	Crisinidae	Cancellata
Family	Crassodiscoporidae	Cancellata
Family	Cytididae	Cancellata
Family	Pseudidmoneidae	Cancellata
Family	Radioporidae	Cancellata
Family	Canaliporidae	Cancellata
Suborder	Cerioporina	Cyclostomata
Family	Cerioporidae	Cerioporina
Family	Heteroporidae	Cerioporina
Family	Leiosoeciidae	Cerioporina
Family	Densiporidae	Cerioporina
Family	Canuellidae	Cerioporina
Family	Tretocycloeciidae	Cerioporina
Family	Cavidae	Cerioporina
Family	Sulcocavidae	Cerioporina
Family	Corymboporidae	Cerioporina
Family	Fungellidae	Cerioporina
Family	Pseudocerioporidae	Cerioporina
Suborder	Rectangulata	Cyclostomata
Family	Lichenoporidae	Rectangulata
Family	Disporellidae	Rectangulata
Family	Clausidae	Cyclostomata
Family	Lobosoeciidae	Cyclostomata
Genus	Atelesopora	Cyclostomata
Genus	Braiesopora	Cyclostomata
Genus	Rodinopora	Cyclostomata
Family	Hederellidae	Cyclostomata
Family	Reptariidae	Cyclostomata
Order	Cryptostomida	Stenolaemata
Suborder	Ptilodictyina	Cryptostomida
Family	Ptilodictyidae	Ptilodictyina
Family	Escharoporidae	Ptilodictyina
Family	Intraporidae	Ptilodictyina
Family	Phragmopheridae	Ptilodictyina
Family	Rhinidictyidae	Ptilodictyina
Family	Stictoporellidae	Ptilodictyina
Family	Virgatellidae	Ptilodictyina
Family	Phaenoporidae	Ptilodictyina
Family	Worthenoporidae	Ptilodictyina
Family	Mysticellidae	Ptilodictyina
Suborder	Rhabdomesina	Cryptostomida
Family	Arthrostylidae	Rhabdomesina
Family	Rhabdomesidae	Rhabdomesina
Family	Rhomboporidae	Rhabdomesina
Family	Bactroporidae	Rhabdomesina
Family	Nikiforovellidae	Rhabdomesina
Family	Pseudoascoporidae	Rhabdomesina
Family	Hyphasmoporidae	Rhabdomesina
Family	Streblascoporidae	Rhabdomesina
Suborder	Timanodictyina	Cryptostomida
Family	Timanodictyidae	Timanodictyina
Family	Murengoloclemidae	Timanodictyina
Family	Girtyporidae	Timanodictyina
Suborder	Goldfussitrypina	Cryptostomida
Family	Goldfussitrypidae	Goldfussitrypina
Family	Maychellidae	Goldfussitrypina
Family	Mediaporidae	Goldfussitrypina
Family	Nicklesoporidae	Goldfussitrypina
Family	Vidronovellidae	Goldfussitrypina
Suborder	Streblotrypina	Cryptostomida
Family	Streblotrypidae	Streblotrypina
Family	Nudymiellidae	Streblotrypina
Family	Nematoporidae	Streblotrypina
Family	Nematotrypidae	Streblotrypina
Family	Tamaroclemidae	Cryptostomida
Family	Flabellotrypidae	Cryptostomida
Family	Kielceporidae	Cryptostomida
Family	Palescharidae	Cryptostomida
Genus	Antonoclema	Cryptostomida
Genus	Euspilopora	Cryptostomida
Genus	Heliotrypa	Cryptostomida
Genus	Petaloporella	Cryptostomida
Genus	Ptilotrypa	Cryptostomida
Genus	Ptilotrypina	Cryptostomida
Genus	Stictotrypa	Cryptostomida
Genus	Taeniodictya	Cryptostomida
Genus	Trepocryptopora	Cryptostomida
Order	Cystoporida	Stenolaemata
Suborder	Ceramoporina	Cystoporida
Family	Ceramoporidae	Ceramoporina
Family	Acanthoceramoporellidae	Ceramoporina
Family	Rhinoporidae	Ceramoporina
Suborder	Fistuliporina	Cystoporida
Family	Anolotichiidae	Fistuliporina
Family	Xenotrypidae	Fistuliporina
Family	Constellariidae	Fistuliporina
Family	Fistuliporidae	Fistuliporina
Family	Botrylloporidae	Fistuliporina
Family	Actinotrypidae	Fistuliporina
Family	Hexagonellidae	Fistuliporina
Family	Cystodictyonidae	Fistuliporina
Family	Etherellidae	Fistuliporina
Family	Goniocladiidae	Fistuliporina
Genus	Inconobotopora	Cystoporida
Genus	Minutolunaria	Cystoporida
Genus	Pileotrypella	Cystoporida
Order	Trepostomatida	Stenolaemata
Family	Esthonioporidae	Trepostomatida
Family	Orbiporidae	Trepostomatida
Family	Dittoporidae	Trepostomatida
Family	Heterotrypidae	Trepostomatida
Family	Leioclemidae	Trepostomatida
Family	Bimuroporidae	Trepostomatida
Family	Halloporidae	Trepostomatida
Family	Trematoporidae	Trepostomatida
Family	Batostomellidae	Trepostomatida
Family	Monticuliporidae	Trepostomatida
Family	Ralfimartitidae	Trepostomatida
Family	Mesotrypidae	Trepostomatida
Family	Pseudocampylidae	Trepostomatida
Family	Amplexoporidae	Trepostomatida
Family	Atactotoechidae	Trepostomatida
Family	Eridotrypellidae	Trepostomatida
Family	Stereotoechidae	Trepostomatida
Family	Diplotrypidae	Trepostomatida
Family	Anisotrypidae	Trepostomatida
Family	Crustoporidae	Trepostomatida
Family	Mishulgellidae	Trepostomatida
Family	Dyscritellidae	Trepostomatida
Family	Aisenvergiidae	Trepostomatida
Family	Stenoporidae	Trepostomatida
Family	Stenoporellidae	Trepostomatida
Family	Maychellinidae	Trepostomatida
Family	Cycloporidae	Trepostomatida
Family	Nipponostenoporidae	Trepostomatida
Family	Ulrichotrypellidae	Trepostomatida
Family	Hemieridotrypidae	Trepostomatida
Family	Araxoporidae	Trepostomatida
Family	Helenoporidae	Trepostomatida
Family	Astralochomidae	Trepostomatida
Family	Dianulitidae	Trepostomatida
Family	Revalotrypidae	Trepostomatida
Family	Girtyporidae	Trepostomatida
Family	Zozariellidae	Trepostomatida
Genus	Balticopora	Trepostomatida
Genus	Batostomellina	Trepostomatida
Genus	Coeloclemis	Trepostomatida
Genus	Hyalotoechus	Trepostomatida
Genus	Monotrypella	Trepostomatida
Genus	Nicholsonella	Trepostomatida
Genus	Petalotrypella	Trepostomatida
Order	Fenestrida	Stenolaemata
Family	Enalloporidae	Fenestrida
Family	Ralfinidae	Fenestrida
Family	Phylloporinidae	Fenestrida
Family	Sardesoninidae	Fenestrida
Family	Chainodictyonidae	Fenestrida
Family	Semicosciniidae	Fenestrida
Family	Fenestellidae	Fenestrida
Family	Polyporidae	Fenestrida
Family	Fenestraliidae	Fenestrida
Family	Fenestraporidae	Fenestrida
Family	Septatoporidae	Fenestrida
Family	Septoporidae	Fenestrida
Family	Acanthocladiidae	Fenestrida
Family	Admiratellidae	Fenestrida
Family	Carnocladiidae	Fenestrida
Class	Gymnolaemata	Bryozoa
Order	Ctenostomata	Gymnolaemata
Superfamily	Benedeniporoidea	Ctenostomata
Family	Benedeniporidae	Benedeniporoidea
Family	Labiostomellidae	Benedeniporoidea
Genus	Protobenedenipora	Benedeniporoidea
Suborder	Alcyonidiina	Ctenostomata
Superfamily	Alcyonidioidea	Alcyonidiina
Family	Alcyonidiidae	Alcyonidioidea
Family	Clavoporidae	Alcyonidioidea
Family	Monobryozoontidae	Alcyonidioidea
Family	Pachyzoontidae	Alcyonidioidea
Suborder	Flustrellidrina	Ctenostomata
Superfamily	Haywardozoonoidea	Flustrellidrina
Family	Haywardozoontidae	Haywardozoonoidea
Superfamily	Flustrellidroidea	Flustrellidrina
Family	Flustrellidridae	Flustrellidroidea
Family	Lobiancoporidae	Flustrellidroidea
Family	Pherusellidae	Flustrellidroidea
Suborder	Victorellina	Ctenostomata
Superfamily	Victorelloidea	Victorellina
Family	Victorellidae	Victorelloidea
Family	Sundanellidae	Victorelloidea
Family	Nolellidae	Victorelloidea
Family	Pottsiellidae	Victorelloidea
Family	Aethozoontidae	Victorelloidea
Family	Immergentiidae	Victorelloidea
Suborder	Paludicellina	Ctenostomata
Superfamily	Paludicelloidea	Paludicellina
Family	Paludicellidae	Paludicelloidea
Suborder	Vesicularina	Ctenostomata
Superfamily	Vesicularioidea	Vesicularina
Family	Vesiculariidae	Vesicularioidea
Family	Buskiidae	Vesicularioidea
Family	Bathyalozoontidae	Vesicularioidea
Suborder	Stoloniferina	Ctenostomata
Superfamily	Triticelloidea	Stoloniferina
Family	Triticellidae	Triticelloidea
Superfamily	Aeverrillioidea	Stoloniferina
Family	Aeverrilliidae	Aeverrillioidea
Family	Farrellidae	Aeverrillioidea
Superfamily	Valkerioidea	Stoloniferina
Family	Walkeriidae	Valkerioidea
Family	Mimosellidae	Valkerioidea
Family	Hypophorellidae	Valkerioidea
Family	Harmeriellidae	Valkerioidea
Superfamily	Arachnidioidea	Stoloniferina
Family	Arachnidiidae	Arachnidioidea
Superfamily	Terebriporoidea	Stoloniferina
