rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage
Phylum	Phylum Bryozoa				valid
Class	Class Stenolaemata			Phylum Bryozoa	valid
Class	Class Gymnolaemata			Phylum Bryozoa	valid
Class	Class Phylactolaemata			Phylum Bryozoa	valid
Order	Order Cyclostomata			Class Stenolaemata	valid
Order	Order Hederellida			Class Stenolaemata	valid
Order	Order Cryptostomida			Class Stenolaemata	valid
Order	Order Cystoporida			Class Stenolaemata	valid
Order	Order Trepostomatida			Class Stenolaemata	valid
Order	Order Fenestrida			Class Stenolaemata	valid
Order	Order Ctenostomata			Class Gymnolaemata	valid
Order	Order Cheilostomata			Class Gymnolaemata	valid
Order	Order Plumatellida			Class Phylactolaemata	valid
Suborder	Suborder Inovicellina			Order Cheilostomata	valid
Suborder	Suborder Malacostegina			Order Cheilostomata	valid
Suborder	Suborder Neocheilostomina			Order Cheilostomata	valid
Suborder	Suborder Scrupariina			Order Cheilostomata	valid
Suborder	Suborder Articulina			Order Cyclostomata	valid
Suborder	Suborder Cancellata			Order Cyclostomata	valid
Suborder	Suborder Cerioporina			Order Cyclostomata	valid
Suborder	Suborder Paleotubuliporina			Order Cyclostomata	valid
Suborder	Suborder Rectangulata			Order Cyclostomata	valid
Suborder	Suborder Tubuliporina			Order Cyclostomata	valid
Suborder	Suborder Alcyonidiina			Order Ctenostomata	valid
Suborder	Suborder Flustrellidrina			Order Ctenostomata	valid
Suborder	Suborder Paludicellina			Order Ctenostomata	valid
Suborder	Suborder Protoctenostamata			Order Ctenostomata	valid
Suborder	Suborder Protoctenostomata			Order Ctenostomata	valid
Suborder	Suborder Stoloniferina			Order Ctenostomata	valid
Suborder	Suborder Vesicularina			Order Ctenostomata	valid
Suborder	Suborder Victorellina			Order Ctenostomata	valid
Suborder	Suborder Ptilodictyina			Order Cryptostomida	valid
Suborder	Suborder Rhabdomesina			Order Cryptostomida	valid
Suborder	Suborder Timanodictyina			Order Cryptostomida	valid
Suborder	Suborder Goldfussitrypina			Order Cryptostomida	valid
Suborder	Suborder Strebolotrypina			Order Cryptostomida	valid
Suborder	Suborder Ceramoporina			Order Cystoporida	valid
Suborder	Suborder Fistuliporina			Order Cystoporida	valid
Infraorder	Infraorder Ascophorina			Suborder Neocheilostomina	valid
Infraorder	Infraorder Flustrina			Suborder Neocheilostomina	valid
Family	Family Densiporidae			Suborder Cerioporina	valid
Family	Family Hederellidae			Order Hederellida	valid
Family	Family Reptariidae			Order Hederellida	valid
Family	Family Aisenvergiidae			Order Trepostomatida	valid
Family	Family Amplexoporidae			Order Trepostomatida	valid
Family	Family Anisotrypidae			Order Trepostomatida	valid
Family	Family Araxoporidae			Order Trepostomatida	valid
Family	Family Astralochomidae			Order Trepostomatida	valid
Family	Family Atactotoechidae			Order Trepostomatida	valid
Family	Family Batostomellidae			Order Trepostomatida	valid
Family	Family Bimuroporidae			Order Trepostomatida	valid
Family	Family Crustoporidae			Order Trepostomatida	valid
Family	Family Cycloporidae			Order Trepostomatida	valid
Family	Family Dianulitidae			Order Trepostomatida	valid
Family	Family Diplotrypidae			Order Trepostomatida	valid
Family	Family Dittoporidae			Order Trepostomatida	valid
Family	Family Dyscritellidae			Order Trepostomatida	valid
Family	Family Eridotrypellidae			Order Trepostomatida	valid
Family	Family Esthonioporidae			Order Trepostomatida	valid
Family	Family Girtyporidae			Order Trepostomatida	valid
Family	Family Halloporidae			Order Trepostomatida	valid
Family	Family Helenoporidae			Order Trepostomatida	valid
Family	Family Hemieridotrypidae			Order Trepostomatida	valid
Family	Family Heterotrypidae			Order Trepostomatida	valid
Family	Family Leioclemidae			Order Trepostomatida	valid
Family	Family Maychellinidae			Order Trepostomatida	valid
Family	Family Mesotrypidae			Order Trepostomatida	valid
Family	Family Mishulgellidae			Order Trepostomatida	valid
Family	Family Monticuliporidae			Order Trepostomatida	valid
Family	Family Nipponostenoporidae			Order Trepostomatida	valid
Family	Family Orbiporidae			Order Trepostomatida	valid
Family	Family Pseudocampylidae			Order Trepostomatida	valid
Family	Family Ralfimartitidae			Order Trepostomatida	valid
Family	Family Revalotrypidae			Order Trepostomatida	valid
Family	Family Stenoporellidae			Order Trepostomatida	valid
Family	Family Stenoporidae			Order Trepostomatida	valid
Family	Family Stereotoechidae			Order Trepostomatida	valid
Family	Family Trematoporidae			Order Trepostomatida	valid
Family	Family Ulrichotrypellidae			Order Trepostomatida	valid
Family	Family Zozariellidae			Order Trepostomatida	valid
Family	Family Acanthocladiidae			Order Fenestrida	valid
Family	Family Admiratellidae			Order Fenestrida	valid
Family	Family Carnocladiidae			Order Fenestrida	valid
Family	Family Chainodictyonidae			Order Fenestrida	valid
Family	Family Enalloporidae			Order Fenestrida	valid
Family	Family Fenestellidae			Order Fenestrida	valid
Family	Family Fenestraliidae			Order Fenestrida	valid
Family	Family Fenestraporidae			Order Fenestrida	valid
Family	Family Phylloporinidae			Order Fenestrida	valid
Family	Family Polyporidae			Order Fenestrida	valid
Family	Family Ralfinidae			Order Fenestrida	valid
Family	Family Sardesoninidae			Order Fenestrida	valid
Family	Family Semicosciniidae			Order Fenestrida	valid
Family	Family Septatoporidae			Order Fenestrida	valid
Family	Family Septoporidae			Order Fenestrida	valid
Family	Family Ptilodictyidae			Suborder Ptilodictyina	valid
Family	Family Escharoporidae			Suborder Ptilodictyina	valid
Family	Family Intraporidae			Suborder Ptilodictyina	valid
Family	Family Phragmopheridae			Suborder Ptilodictyina	valid
Family	Family Rhinidictyidae			Suborder Ptilodictyina	valid
Family	Family Stictoporellidae			Suborder Ptilodictyina	valid
Family	Family Virgatellidae			Suborder Ptilodictyina	valid
Family	Family Phaenoporidae			Suborder Ptilodictyina	valid
Family	Family Worthenoporidae			Suborder Ptilodictyina	valid
Family	Family Arthrostylidae			Suborder Rhabdomesina	valid
Family	Family Rhabdomesidae			Suborder Rhabdomesina	valid
Family	Family Rhomboporidae			Suborder Rhabdomesina	valid
Family	Family Bactroporidae			Suborder Rhabdomesina	valid
Family	Family Nikiforovellidae			Suborder Rhabdomesina	valid
Family	Family Pseudoascoporidae			Suborder Rhabdomesina	valid
Family	Family Hyphasmoporidae			Suborder Rhabdomesina	valid
Family	Family Streblascoporidae			Suborder Rhabdomesina	valid
Family	Family Timanodictyidae			Suborder Timanodictyina	valid
Family	Family Murengoloclemidae			Suborder Timanodictyina	valid
Family	Family Goldfussitrypidae			Suborder Goldfussitrypina	valid
Family	Family Maychellidae			Suborder Goldfussitrypina	valid
Family	Family Mediaporidae			Suborder Goldfussitrypina	valid
Family	Family Nicklesoporidae			Suborder Goldfussitrypina	valid
Family	Family Streblotrypidae			Suborder Strebolotrypina	valid
Family	Family Nudymiellidae			Suborder Strebolotrypina	valid
Family	Family Nematoporidae			Suborder Strebolotrypina	valid
Family	Family Nematotrypidae			Suborder Strebolotrypina	valid
Family	Family Ceramoporidae			Suborder Ceramoporina	valid
Family	Family Acanthoceramoporellidae			Suborder Ceramoporina	valid
Family	Family Rhinoporidae			Suborder Ceramoporina	valid
Family	Family Anolotichiidae			Suborder Fistuliporina	valid
Family	Family Xenotrypidae			Suborder Fistuliporina	valid
Family	Family Constellariidae			Suborder Fistuliporina	valid
Family	Family Fistuliporidae			Suborder Fistuliporina	valid
Family	Family Botrylloporidae			Suborder Fistuliporina	valid
Family	Family Actinotrypidae			Suborder Fistuliporina	valid
Family	Family Hexagonellidae			Suborder Fistuliporina	valid
Family	Family Cystodictyonidae			Suborder Fistuliporina	valid
Family	Family Etherellidae			Suborder Fistuliporina	valid
Family	Family Goniocladiidae			Suborder Fistuliporina	valid
Family	Family Annectocymidae			Suborder Tubuliporina	valid
Family	Family Canaliporidae			Suborder Cancellata	valid
Family	Family Cavidae			Suborder Cerioporina	valid
Family	Family Celluliporidae			Suborder Tubuliporina	valid
Family	Family Cerioporidae			Suborder Cerioporina	valid
Family	Family Cinctiporidae			Suborder Tubuliporina	valid
Family	Family Clausidae			Suborder Cerioporina	valid
Family	Family Corymboporidae			Suborder Cerioporina	valid
Family	Family Corynotrypidae			Suborder Paleotubuliporina	valid
Family	Family Crassodiscoporidae			Suborder Cancellata	valid
Family	Family Crisiidae			Suborder Articulina	valid
Family	Family Crisinidae			Suborder Cancellata	valid
Family	Family Crisuliporidae			Suborder Tubuliporina	valid
Family	Family Crownoporidae			Suborder Paleotubuliporina	valid
Family	Family Cytididae			Suborder Cancellata	valid
Family	Family Densiporidae			Suborder Cerioporina	valid
Family	Family Diaperoeciidae			Suborder Tubuliporina	valid
Family	Family Diastoporidae			Suborder Tubuliporina	valid
Family	Family Eleidae			Suborder Tubuliporina	valid
Family	Family Entalophoridae			Suborder Tubuliporina	valid
Family	Family Fascigeridae	(Theononidae)		Suborder Tubuliporina	valid
Family	Family Filisparsidae			Suborder Tubuliporina	valid
Family	Family Frondiporidae			Suborder Tubuliporina	valid
Family	Family Hastingsiidae			Suborder Tubuliporina	valid
Family	Family Heteroporidae			Suborder Cerioporina	valid
Family	Family Horneridae			Suborder Cancellata	valid
Family	Family Idmoneidae			Suborder Tubuliporina	valid
Family	Family Leiosoeciidae			Suborder Cerioporina	valid
Family	Family Lichenoporidae			Suborder Rectangulata	valid
Family	Family Lobosoeciidae			Suborder Tubuliporina	valid
Family	Family Mecynoeciidae			Suborder Tubuliporina	valid
Family	Family Multisparsidae			Suborder Tubuliporina	valid
Family	Family Oncousoeciidae			Suborder Tubuliporina	valid
Family	Family Petaloporidae			Suborder Cancellata	valid
Family	Family Pseudidmoneidae			Suborder Cancellata	valid
Family	Family Pseudocerioporidae			Suborder Cerioporina	valid
Family	Family Pustuloporidae			Suborder Tubuliporina	valid
Family	Family Sagenellidae			Suborder Paleotubuliporina	valid
Family	Family Semiceidae			Suborder Tubuliporina	valid
Family	Family Siphoniotyphlidae			Suborder Tubuliporina	valid
Family	Family Spiroporidae			Suborder Tubuliporina	valid
Family	Family Stigmatoechidae			Suborder Cancellata	valid
Family	Family Stomatoporidae			Suborder Tubuliporina	valid
Family	Family Terviidae			Suborder Tubuliporina	valid
Family	Family Theonoidae			Suborder Tubuliporina	valid
Family	Family Tubuliporidae			Suborder Tubuliporina	valid
Superfamily	Superfamily Aeverrillioidea			Suborder Stoloniferina	valid
Superfamily	Superfamily Alcyonidoidea			Suborder Alcyonidiina	valid
Superfamily	Superfamily Arachnidioidea			Suborder Stoloniferina	valid
Superfamily	Superfamily Benedeniporoidea			Suborder Protoctenostamata	valid
Superfamily	Superfamily Flustrellidroidea			Suborder Flustrellidrina	valid
Superfamily	Superfamily Haywardozoonoidea			Suborder Flustrellidrina	valid
Superfamily	Superfamily Hislopioidea			Suborder Stoloniferina	valid
Superfamily	Superfamily Paludicelloidea			Suborder Paludicellina	valid
Superfamily	Superfamily Penetrantiina			Suborder Stoloniferina	valid
Superfamily	Superfamily Terebriporoidea			Suborder Stoloniferina	valid
Superfamily	Superfamily Triticelloidea			Suborder Stoloniferina	valid
Superfamily	Superfamily Valkerioidea			Suborder Stoloniferina	valid
Superfamily	Superfamily Vesicularioidea			Suborder Vesicularina	valid
Superfamily	Superfamily Victorelloidea			Suborder Victorellina	valid
Family	Family Aethozoontidae			Superfamily Victorelloidea	valid
Family	Family Aeverrilliidae			Superfamily Aeverrillioidea	valid
Family	Family Alcyonidiidae			Superfamily Alcyonidoidea	valid
Family	Family Arachnidiidae			Superfamily Arachnidioidea	valid
Family	Family Ascodictyidae			Order Ctenostomata	valid
Family	Family Bathyalozoontidae			Superfamily Vesicularioidea	valid
Family	Family Benedeniporidae			Superfamily Benedeniporoidea	valid
Family	Family Buskiidae			Superfamily Vesicularioidea	valid
Family	Family Clavoporidae			Superfamily Alcyonidoidea	valid
Family	Family Cookobryozoonidae			Superfamily Terebriporoidea	valid
Family	Family Farrellidae			Superfamily Aeverrillioidea	valid
Family	Family Flustrellidridae			Superfamily Flustrellidroidea	valid
Family	Family Harmeriellidae			Superfamily Valkerioidea	valid
Family	Family Haywardozoontidae			Superfamily Haywardozoonoidea	valid
Family	Family Hislopiidae			Superfamily Hislopioidea	valid
Family	Family Hypophorellidae			Superfamily Valkerioidea	valid
Family	Family Immergentiidae			Superfamily Victorelloidea	valid
Family	Family Labiostomellidae			Superfamily Benedeniporoidea	valid
Family	Family Mimosellidae			Superfamily Valkerioidea	valid
Family	Family Monobryozoontidae			Superfamily Alcyonidoidea	valid
Family	Family Nolellidae			Superfamily Victorelloidea	valid
Family	Family Orbignyoporidae			Superfamily Terebriporoidea	valid
Family	Family Pachyzoontidae			Superfamily Alcyonidoidea	valid
Family	Family Paludicellidae			Superfamily Paludicelloidea	valid
Family	Family Penetrantiidae			Superfamily Penetrantiina	valid
Family	Family Pherusellidae			Superfamily Flustrellidroidea	valid
Family	Family Pottsiellidae			Superfamily Victorelloidea	valid
Family	Family Ropalonariidae			Superfamily Terebriporoidea	valid
Family	Family Spathiporidae			Superfamily Terebriporoidea	valid
Family	Family Sundanellidae			Superfamily Victorelloidea	valid
Family	Family Terebriporidae			Superfamily Terebriporoidea	valid
Family	Family Triticellidae			Superfamily Triticelloidea	valid
Family	Family Vesiculariidae			Superfamily Benedeniporoidea	valid
Family	Family Victorellidae			Superfamily Victorelloidea	valid
Family	Family Vinellidae			Superfamily Terebriporoidea	valid
Family	Family Voigtellidae			Superfamily Terebriporoidea	valid
Family	Family Walkeriidae			Superfamily Valkerioidea	valid
Superfamily	Superfamily Adeonoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Aeteoidea			Suborder Inovicellina	valid
Superfamily	Superfamily Arachnopusioidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Bifaxarioidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Buguloidea			Infraorder Flustrina	valid
Superfamily	Superfamily Calloporoidea			Infraorder Flustrina	valid
Superfamily	Superfamily Catenicelloidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Cellarioidea			Infraorder Flustrina	valid
Superfamily	Superfamily Celleporoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Conescharellinoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Cribrilinoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Didymoselloidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Dysnoetoporoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Euthyriselloidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Flustroidea			Suborder Neocheilostomina	valid
Superfamily	Superfamily Hippothooidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Lepralielloidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Mamilloporoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Membraniporoidea			Suborder Malacostegina	valid
Superfamily	Superfamily Microporoidea			Suborder Neocheilostomina	valid
Superfamily	Superfamily Pseudolepralioidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Schizoporelloidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Scorioporoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Scruparioidea			Suborder Scrupariina	valid
Superfamily	Superfamily Siphonicytaroidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Smittinoidea			Infraorder Ascophorina	valid
Superfamily	Superfamily Urceoliporoidea			Infraorder Ascophorina	valid
Family	Family Actisecidae			Superfamily Schizoporelloidea	valid
Family	Family Adeonellidae			Superfamily Adeonoidea	valid
Family	Family Adeonidae			Superfamily Adeonoidea	valid
Family	Family Aeteidae			Superfamily Aeteoidea	valid
Family	Family Alysidiidae			Superfamily Microporoidea	valid
Family	Family Antroporidae			Superfamily Calloporoidea	valid
Family	Family Arachnopusiidae			Superfamily Arachnopusioidea	valid
Family	Family Ascosiidae			Superfamily Mamilloporoidea	valid
Family	Family Aspidostomatidae			Superfamily Microporoidea	valid
Family	Family Batoporidae			Superfamily Conescharellinoidea	valid
Family	Family Beaniidae			Superfamily Buguloidea	valid
Family	Family Belluloporidae			Superfamily Cribrilinoidea	valid
Family	Family Bicorniferidae			Suborder Neocheilostomina	valid
Family	Family Bifaxariidae			Superfamily Bifaxarioidea	valid
Family	Family Bitectiporidae			Superfamily Smittinoidea	valid
Family	Family Brydonellidae			Superfamily Pseudolepralioidea	valid
