Rank ID	Class	Order	Suborder	Infraorder	Superfamily	Family	Genus
20 3	stenolaemata
20 1	gymnolaemata
20 2	phylactolaemata
20 4	NULL
20 5	NULL
20 6	NULL
20 7	NULL
20 8	NULL
20 9	NULL
20 10	NULL
20 11	NULL
20 12	NULL
20 13	NULL
20 14	NULL
20 15	NULL
20 16	NULL
30 4	stenolaemata	cyclostomata
30 7	stenolaemata	hederellida
30 2	stenolaemata	cryptostomida
30 5	stenolaemata	cystoporida
30 9	stenolaemata	trepostomatida
30 6	stenolaemata	fenestrida
30 3	gymnolaemata	ctenostomata
30 1	gymnolaemata	cheilostomata
30 8	phylactolaemata	plumatellida
30 10	NULL	NULL
30 11	NULL	NULL
30 12	NULL	NULL
30 13	NULL	NULL
30 14	NULL	NULL
30 15	NULL	NULL
30 16	NULL	NULL
30 17	NULL	NULL
30 18	NULL	NULL
30 19	NULL	NULL
30 20	NULL	NULL
30 21	NULL	NULL
30 22	NULL	NULL
40 9	gymnolaemata	cheilostomata	inovicellina
40 10	gymnolaemata	cheilostomata	malacostegina
40 11	gymnolaemata	cheilostomata	neocheilostomina
40 19	gymnolaemata	cheilostomata	scrupariina
40 24	gymnolaemata	cheilostomata	uncertain
40 2	stenolaemata	cyclostomata	articulina
40 3	stenolaemata	cyclostomata	cancellata
40 5	stenolaemata	cyclostomata	cerioporina
40 12	stenolaemata	cyclostomata	paleotubuliporina
40 17	stenolaemata	cyclostomata	rectangulata
40 23	stenolaemata	cyclostomata	tubuliporina
40 25	stenolaemata	cyclostomata	uncertain
40 1	gymnolaemata	ctenostomata	alcyonidiina
40 7	gymnolaemata	ctenostomata	flustrellidrina
40 13	gymnolaemata	ctenostomata	paludicellina
40 14	gymnolaemata	ctenostomata	protoctenostamata
40 15	gymnolaemata	ctenostomata	protoctenostomata
40 20	gymnolaemata	ctenostomata	stoloniferina
40 27	gymnolaemata	ctenostomata	vesicularina
40 28	gymnolaemata	ctenostomata	victorellina
40 26	gymnolaemata	ctenostomata	uncertain
40 16	stenolaemata	cryptostomida	ptilodictyina
40 18	stenolaemata	cryptostomida	rhabdomesina
40 22	stenolaemata	cryptostomida	timanodictyina
40 8	stenolaemata	cryptostomida	goldfussitrypina
40 21	stenolaemata	cryptostomida	strebolotrypina
40 4	stenolaemata	cystoporida	ceramoporina
40 6	stenolaemata	cystoporida	fistuliporina
40 29	stenolaemata	fenestrida	NULL
40 30	stenolaemata	fenestrida	NULL
40 31	stenolaemata	trepostomatida	NULL
40 32	stenolaemata	trepostomatida	NULL
40 33	stenolaemata	trepostomatida	NULL
40 34	stenolaemata	trepostomatida	NULL
40 35	stenolaemata	trepostomatida	NULL
40 36	stenolaemata	trepostomatida	NULL
40 37	stenolaemata	trepostomatida	NULL
40 38	stenolaemata	trepostomatida	NULL
40 39	stenolaemata	fenestrida	NULL
40 40	stenolaemata	fenestrida	NULL
40 41	stenolaemata	trepostomatida	NULL
40 42	stenolaemata	trepostomatida	NULL
40 43	stenolaemata	trepostomatida	NULL
40 44	stenolaemata	trepostomatida	NULL
40 45	stenolaemata	trepostomatida	NULL
40 46	stenolaemata	trepostomatida	NULL
40 47	stenolaemata	fenestrida	NULL
40 48	stenolaemata	trepostomatida	NULL
40 49	stenolaemata	trepostomatida	NULL
40 50	stenolaemata	fenestrida	NULL
40 51	stenolaemata	fenestrida	NULL
40 52	stenolaemata	fenestrida	NULL
40 53	stenolaemata	trepostomatida	NULL
40 54	stenolaemata	trepostomatida	NULL
40 55	stenolaemata	hederellida	NULL
40 56	stenolaemata	trepostomatida	NULL
40 57	stenolaemata	trepostomatida	NULL
40 58	stenolaemata	trepostomatida	NULL
40 59	stenolaemata	trepostomatida	NULL
40 60	stenolaemata	trepostomatida	NULL
40 61	stenolaemata	trepostomatida	NULL
40 62	stenolaemata	trepostomatida	NULL
40 63	stenolaemata	trepostomatida	NULL
40 64	stenolaemata	trepostomatida	NULL
40 65	stenolaemata	fenestrida	NULL
40 66	stenolaemata	fenestrida	NULL
40 67	stenolaemata	trepostomatida	NULL
40 68	stenolaemata	trepostomatida	NULL
40 69	stenolaemata	fenestrida	NULL
40 70	stenolaemata	hederellida	NULL
40 71	stenolaemata	trepostomatida	NULL
40 72	stenolaemata	fenestrida	NULL
40 73	stenolaemata	fenestrida	NULL
40 74	stenolaemata	fenestrida	NULL
40 75	stenolaemata	fenestrida	NULL
40 76	stenolaemata	trepostomatida	NULL
40 77	stenolaemata	trepostomatida	NULL
40 78	stenolaemata	trepostomatida	NULL
40 79	stenolaemata	trepostomatida	NULL
40 80	stenolaemata	trepostomatida	NULL
40 81	stenolaemata	trepostomatida	NULL
40 82	stenolaemata	trepostomatida	NULL
40 83	stenolaemata	cyclostomata	uncertain
40 84	gymnolaemata	ctenostomata	uncertain
40 85	gymnolaemata	cheilostomata	uncertain
40 86	NULL	NULL	NULL
40 87	NULL	NULL	NULL
40 88	NULL	NULL	NULL
40 89	NULL	NULL	NULL
40 90	phylactolaemata	plumatellida	NULL
40 91	NULL	NULL	NULL
40 92	phylactolaemata	plumatellida	NULL
40 93	NULL	NULL	NULL
40 94	stenolaemata	cryptostomida	NULL
40 95	NULL	NULL	NULL
40 96	NULL	NULL	NULL
40 97	NULL	NULL	NULL
40 98	stenolaemata	cryptostomida	NULL
40 99	phylactolaemata	plumatellida	NULL
40 100	phylactolaemata	plumatellida	NULL
40 101	NULL	NULL	NULL
40 102	phylactolaemata	plumatellida	NULL
40 103	NULL	NULL	NULL
40 104	NULL	NULL	NULL
40 105	phylactolaemata	plumatellida	NULL
40 106	NULL	NULL	NULL
40 107	stenolaemata	cryptostomida	NULL
50 1	gymnolaemata	cheilostomata	neocheilostomina	ascophorina
50 2	gymnolaemata	cheilostomata	neocheilostomina	flustrina
50 3	gymnolaemata	cheilostomata	uncertain	uncertain
50 4	gymnolaemata	ctenostomata	stoloniferina	NULL
50 5	gymnolaemata	ctenostomata	alcyonidiina	NULL
50 6	gymnolaemata	ctenostomata	stoloniferina	NULL
50 7	gymnolaemata	ctenostomata	protoctenostamata	NULL
50 8	gymnolaemata	ctenostomata	flustrellidrina	NULL
50 9	gymnolaemata	ctenostomata	flustrellidrina	NULL
50 10	gymnolaemata	ctenostomata	stoloniferina	NULL
50 11	gymnolaemata	ctenostomata	paludicellina	NULL
50 12	gymnolaemata	ctenostomata	stoloniferina	NULL
50 13	gymnolaemata	ctenostomata	stoloniferina	NULL
50 14	gymnolaemata	ctenostomata	stoloniferina	NULL
50 15	gymnolaemata	ctenostomata	uncertain	NULL
50 16	gymnolaemata	ctenostomata	stoloniferina	NULL
50 17	gymnolaemata	ctenostomata	vesicularina	NULL
50 18	gymnolaemata	ctenostomata	victorellina	NULL
50 19	gymnolaemata	cheilostomata	inovicellina	NULL
50 20	gymnolaemata	cheilostomata	neocheilostomina	NULL
50 21	gymnolaemata	cheilostomata	malacostegina	NULL
50 22	gymnolaemata	cheilostomata	neocheilostomina	NULL
50 23	gymnolaemata	cheilostomata	scrupariina	NULL
50 24	gymnolaemata	cheilostomata	neocheilostomina	NULL
50 25	stenolaemata	cystoporida	ceramoporina	NULL
50 26	stenolaemata	fenestrida	NULL	NULL
50 27	stenolaemata	cystoporida	fistuliporina	NULL
50 28	stenolaemata	fenestrida	NULL	NULL
50 29	stenolaemata	trepostomatida	NULL	NULL
50 30	stenolaemata	trepostomatida	NULL	NULL
50 31	stenolaemata	trepostomatida	NULL	NULL
50 32	stenolaemata	cyclostomata	tubuliporina	NULL
50 33	stenolaemata	cystoporida	fistuliporina	NULL
50 34	stenolaemata	trepostomatida	NULL	NULL
50 35	stenolaemata	cryptostomida	rhabdomesina	NULL
50 36	stenolaemata	trepostomatida	NULL	NULL
50 37	stenolaemata	trepostomatida	NULL	NULL
50 38	stenolaemata	cryptostomida	rhabdomesina	NULL
50 39	stenolaemata	trepostomatida	NULL	NULL
50 40	stenolaemata	trepostomatida	NULL	NULL
50 41	stenolaemata	cystoporida	fistuliporina	NULL
50 42	stenolaemata	cyclostomata	cancellata	NULL
50 43	stenolaemata	fenestrida	NULL	NULL
50 44	stenolaemata	cyclostomata	cerioporina	NULL
50 45	stenolaemata	cyclostomata	tubuliporina	NULL
50 46	stenolaemata	cystoporida	ceramoporina	NULL
50 47	stenolaemata	cyclostomata	cerioporina	NULL
50 48	stenolaemata	fenestrida	NULL	NULL
50 49	stenolaemata	cyclostomata	tubuliporina	NULL
50 50	stenolaemata	cyclostomata	cerioporina	NULL
50 51	stenolaemata	cystoporida	fistuliporina	NULL
50 52	stenolaemata	cyclostomata	cerioporina	NULL
50 53	stenolaemata	cyclostomata	paleotubuliporina	NULL
50 54	stenolaemata	cyclostomata	cancellata	NULL
50 55	stenolaemata	cyclostomata	articulina	NULL
50 56	stenolaemata	cyclostomata	cancellata	NULL
50 57	stenolaemata	cyclostomata	tubuliporina	NULL
50 58	stenolaemata	cyclostomata	paleotubuliporina	NULL
50 59	stenolaemata	trepostomatida	NULL	NULL
50 60	stenolaemata	trepostomatida	NULL	NULL
50 61	stenolaemata	cystoporida	fistuliporina	NULL
50 62	stenolaemata	cyclostomata	cancellata	NULL
50 63	stenolaemata	cyclostomata	cerioporina	NULL
50 64	stenolaemata	trepostomatida	NULL	NULL
50 65	stenolaemata	cyclostomata	tubuliporina	NULL
50 66	stenolaemata	cyclostomata	tubuliporina	NULL
50 67	stenolaemata	trepostomatida	NULL	NULL
50 68	stenolaemata	trepostomatida	NULL	NULL
50 69	stenolaemata	trepostomatida	NULL	NULL
50 70	stenolaemata	cyclostomata	tubuliporina	NULL
50 71	stenolaemata	fenestrida	NULL	NULL
50 72	stenolaemata	cyclostomata	tubuliporina	NULL
50 73	stenolaemata	trepostomatida	NULL	NULL
50 74	stenolaemata	cryptostomida	ptilodictyina	NULL
50 75	stenolaemata	trepostomatida	NULL	NULL
50 76	stenolaemata	cystoporida	fistuliporina	NULL
50 77	stenolaemata	fenestrida	NULL	NULL
50 78	stenolaemata	fenestrida	NULL	NULL
50 79	stenolaemata	fenestrida	NULL	NULL
50 80	stenolaemata	cystoporida	fistuliporina	NULL
50 81	stenolaemata	cyclostomata	tubuliporina	NULL
50 82	stenolaemata	trepostomatida	NULL	NULL
50 83	stenolaemata	cryptostomida	goldfussitrypina	NULL
50 84	stenolaemata	cystoporida	fistuliporina	NULL
50 85	stenolaemata	trepostomatida	NULL	NULL
50 86	stenolaemata	cyclostomata	tubuliporina	NULL
50 87	stenolaemata	hederellida	NULL	NULL
50 88	stenolaemata	trepostomatida	NULL	NULL
50 89	stenolaemata	trepostomatida	NULL	NULL
50 90	stenolaemata	trepostomatida	NULL	NULL
50 91	stenolaemata	cystoporida	fistuliporina	NULL
50 92	stenolaemata	cyclostomata	cancellata	NULL
50 93	stenolaemata	cryptostomida	rhabdomesina	NULL
50 94	stenolaemata	cyclostomata	tubuliporina	NULL
50 95	stenolaemata	cryptostomida	ptilodictyina	NULL
50 96	stenolaemata	trepostomatida	NULL	NULL
50 97	stenolaemata	cyclostomata	rectangulata	NULL
50 98	stenolaemata	cyclostomata	tubuliporina	NULL
50 99	stenolaemata	cryptostomida	goldfussitrypina	NULL
50 100	stenolaemata	trepostomatida	NULL	NULL
50 101	stenolaemata	trepostomatida	NULL	NULL
50 102	stenolaemata	trepostomatida	NULL	NULL
50 103	stenolaemata	trepostomatida	NULL	NULL
50 104	stenolaemata	cyclostomata	tubuliporina	NULL
50 105	stenolaemata	cryptostomida	timanodictyina	NULL
50 106	stenolaemata	cryptostomida	strebolotrypina	NULL
50 107	stenolaemata	cryptostomida	strebolotrypina	NULL
50 108	stenolaemata	cryptostomida	goldfussitrypina	NULL
50 109	stenolaemata	cryptostomida	rhabdomesina	NULL
50 110	stenolaemata	cyclostomata	tubuliporina	NULL
50 111	stenolaemata	trepostomatida	NULL	NULL
50 112	stenolaemata	cyclostomata	cancellata	NULL
50 113	stenolaemata	cryptostomida	ptilodictyina	NULL
50 114	stenolaemata	cryptostomida	ptilodictyina	NULL
50 115	stenolaemata	fenestrida	NULL	NULL
50 116	stenolaemata	fenestrida	NULL	NULL
50 117	stenolaemata	cyclostomata	cancellata	NULL
50 118	stenolaemata	cryptostomida	rhabdomesina	NULL
50 119	stenolaemata	trepostomatida	NULL	NULL
50 120	stenolaemata	cyclostomata	cerioporina	NULL
50 121	stenolaemata	cryptostomida	ptilodictyina	NULL
50 122	stenolaemata	cyclostomata	tubuliporina	NULL
50 123	stenolaemata	trepostomatida	NULL	NULL
50 124	stenolaemata	fenestrida	NULL	NULL
50 125	stenolaemata	hederellida	NULL	NULL
50 126	stenolaemata	trepostomatida	NULL	NULL
50 127	stenolaemata	cryptostomida	rhabdomesina	NULL
50 128	stenolaemata	cryptostomida	ptilodictyina	NULL
50 129	stenolaemata	cystoporida	ceramoporina	NULL
50 130	stenolaemata	cryptostomida	rhabdomesina	NULL
50 131	stenolaemata	cyclostomata	paleotubuliporina	NULL
50 132	stenolaemata	fenestrida	NULL	NULL
50 133	stenolaemata	cyclostomata	tubuliporina	NULL
50 134	stenolaemata	fenestrida	NULL	NULL
50 135	stenolaemata	fenestrida	NULL	NULL
50 136	stenolaemata	fenestrida	NULL	NULL
50 137	stenolaemata	cyclostomata	tubuliporina	NULL
50 138	stenolaemata	cyclostomata	tubuliporina	NULL
50 139	stenolaemata	trepostomatida	NULL	NULL
50 140	stenolaemata	trepostomatida	NULL	NULL
50 141	stenolaemata	trepostomatida	NULL	NULL
50 142	stenolaemata	cryptostomida	ptilodictyina	NULL
50 143	stenolaemata	cyclostomata	cancellata	NULL
50 144	stenolaemata	cyclostomata	tubuliporina	NULL
50 145	stenolaemata	cryptostomida	rhabdomesina	NULL
50 146	stenolaemata	cyclostomata	tubuliporina	NULL
50 147	stenolaemata	cyclostomata	tubuliporina	NULL
50 148	stenolaemata	cryptostomida	timanodictyina	NULL
50 149	stenolaemata	trepostomatida	NULL	NULL
50 150	stenolaemata	cyclostomata	tubuliporina	NULL
50 151	stenolaemata	trepostomatida	NULL	NULL
