Cyclostomata	Busk 1852	Dum�ril, 1806
Malacostegina	Levinsen 1909	Levinsen, 1902
Scrupariina	Silén 1941	Silen 1941
Scrupariina	Silén 1941	Sil�n, 1941
Scrupariina	Silén 1941	Sil�n 1941
Articulina	Busk 1859	d'Orbigny, 1826
Cancellata	Gregory 1896	Lea AM 1907
Cerioporina	von Hagenow 1851	Bronn 1849
Tubuliporina	Milne-Edwards 1838	Blainville 1834
Goldfussitrypina	Gorjunova 1985	Goryunova 1985
Fistuliporina	Astrova 1964	Simpson 1895
Flustrina	Smitt 1868	van Beneden [1850]
Hederellidae	Bock 1999	Kiepura 1973
Reptariidae	Bock 1999	Simpson 1897
Aisenvergiidae	Bock 1999	Dunaeva, 1964
Amplexoporidae	Bock 1999	Miller 1889
Anisotrypidae	Bock 1999	Dunaeva & Morozova, 1967
Araxoporidae	Bock 1999	Morozova, 1970
Astralochomidae	Bock 1999	Ross, 1988
Atactotoechidae	Bock 1999	Duncan, 1939
Batostomellidae	Bock 1999	(Bassler 1953)
Bimuroporidae	Bock 1999	Key 1990
Crustoporidae	Bock 1999	Dunaeva & Morozova 1967
Dianulitidae	Bock 1999	Vinassa de Regny 1921
Diplotrypidae	Bock 1999	Vinassa de Regny 1921
Dittoporidae	Bock 1999	Vinassa de Regny 1921
Dyscritellidae	Bock 1999	Dunaeva & Morozova 1967
Eridotrypellidae	Bock 1999	Morozova 1960
Esthonioporidae	Bock 1999	Vinassa de Regny 1921
Girtyporidae	Bock 1999	Morozova 1966
Halloporidae	Bock 1999	Bassler 1911
Helenoporidae	Bock 1999	Ross 1988
Hemieridotrypidae	Bock 1999	Pushkin 1973
Heterotrypidae	Bock 1999	Ulrich 1890
Maychellinidae	Bock 1999	Goryunova 1985
Mesotrypidae	Bock 1999	Astrova 1965
Mishulgellidae	Bock 1999	Gorjunova 2001
Monticuliporidae	Bock 1999	Nicholson 1881
Orbiporidae	Bock 1999	Astrova 1978
Ralfimartitidae	Bock 1999	Gorjunova 2005
Revalotrypidae	Bock 1999	Gorjunova 1986
Stenoporellidae	Bock 1999	Kiseleva 1982
Stenoporidae	Bock 1999	Waagen & Wentzel 1886
Stereotoechidae	Bock 1999	Yang, Huz & Xia 1988
Trematoporidae	Bock 1999	Miller 1889
Ulrichotrypellidae	Bock 1999	Romantchuk 1967
Zozariellidae	Bock 1999	Zagorsek 1993
Acanthocladiidae	Bock 1999	Zittel 1880
Admiratellidae	Bock 1999	Morozova, 1992
Carnocladiidae	Bock 1999	Ernst 2001
