name	parent
Ectoprocta	Animalia
Gymnolaemata	Ectoprocta
Ctenostomata	Gymnolaemata
Carnosa	Ctenostomata
Alcyonidiidae	Carnosa
Alcyonidium	Alcyonidiidae
polyoum	Alcyonidium
mamillatum	Alcyonidium
mamillatum	mamillatum
erectum	mamillatum
pedunculatum	Alcyonidium
disciforme	Alcyonidium
enteromorpha	Alcyonidium
parasiticum	Alcyonidium
verrilli	Alcyonidium
mytili	Alcyonidium
vermiculare	Alcyonidium
gelatinosum	Alcyonidium
gelatinosum	gelatinosum
diaphanum	gelatinosum
anderssoni	gelatinosum
pachydermatum	gelatinosum
