name	author	rank
Bryozoa		Phylum
Ectoprocta		Phylum
Gymnolaemata		Class
Ctenostomata	Busk, 1852	Order
Carnosa	Gray, 1841	Suborder
Alcyonidiidae	Johnston, 1837	Family
Alcyonidium	Lamouroux, 1813	Genus
Alcyonidium polyoum	Hassall	Species
Alcyonidium mamillatum	Alder, 1857	Species
Alcyonidium mamillatum mamillatum	Alder, 1857	Subspecies
Alcyonidium mamillatum erectum	Andersson, 1902	Subspecies
Alcyonidium pedunculatum	(Wyville Thomson, 1858)	Species
Alcyonidium disciforme	Smitt, 1872	Species
Alcyonidium enteromorpha	(Wyville Thomson, 1858)	Species
Alcyonidium parasiticum	(Fleming, 1828)	Species
Alcyonidium verrilli	Osburn	Species
Alcyonidium mytili	Dalyell, 1847	Species
Alcyonidium vermiculare	Okada, 1925	Species
Alcyonidium gelatinosum	(Linnaeus, 1767)	Species
Alcyonium gelatinosum	Linnaeus, 1767	Species
Alcyonidium gelatinosum gelatinosum	(Linnaeus, 1767)	Subspecies
Alcyonidium gelatinosum diaphanum	(Farre, 1837)	Subspecies
Alcyonidium gelatinosum anderssoni	Abrikossov, 1932	Subspecies
Alcyonidium gelatinosum pachydermatum	Kluge, 1962	Subspecies
Alcyonidium albidum	Alder, 1857	Species
Alcyonidium polypylum	(Wyville Thomson, 1858)	Species
Alcyonidium hirsutum	(Flemming, 1828)	Species
Alcyonidium proboscideum	Kluge, 1962	Species
Alcyonidium radicellatum	Kluge, 1946	Species
Alcyonidium excavatum	Hincks, 1880	Species
Alcyonidium irregulare	Kluge, 1962	Species
Flustrellidridae	Bassler, 1953	Family
Flustrellidra	Bassler, 1953	Genus
Flustrella	Gray, 1848	Genus
Flustrellidra hispida	(Fabricius, 1780)	Species
Flustrella hispida	(Fabricius, 1780)	Species
Flustrellidra corniculata	(Smitt, 1872)	Species
Flustra corniculata	Fabricius, 1780	Species
Flustrellidra gigantea	(Silen, 1947)	Species
Flustrella corniculata	(Smitt, 1872)	Species
Flustrellidra cervicornis	(Robertson, 1900)	Species
Flustrella gigantea	(Wyville Thomson, 1858)	Species
Flustrellidra vegae	(Silen, 1947)	Species
Flustrella vegae	Silen, 1947	Species
Flustrella cervicornis	(Wyville Thomson, 1858)	Species
Alcyonidium cervicornis	(Wyville Thomson, 1858)	Species
Claviporidae	(Wyville Thomson, 1858)	Family
Clavipora	(Wyville Thomson, 1858)	Genus
Clavipora occidentalis	(Wyville Thomson, 1858)	Species
Pseudalcyonidium	(Wyville Thomson, 1858)	Genus
Pseudalcyonidium bobinae	(Wyville Thomson, 1858)	Species
Pherusellidae	(Wyville Thomson, 1858)	Family
Paludicelloidea	(Wyville Thomson, 1858)	Superfamily
Victorellidae	(Wyville Thomson, 1858)	Family
Victorella	(Wyville Thomson, 1858)	Genus
Victorella pavida	Saville Kent	Species
Sundanella	(Wyville Thomson, 1858)	Genus
Sundanella sibogae	(Wyville Thomson, 1858)	Species
Arachnidiidae	Hincks, 1880	Family
Arachnidium	Hincks, 1859	Genus
Arachnidium clavatum	Hincks, 1877	Species
Arachnidium hippothoides	Hincks, 1862	Species
Arachnidium simplex	Hincks, 1880	Species
Arachnoidea	J. Moore, 1903	Genus
Arachnoidea barentsia	Kluge, 1962	Species
Nolellidae	Harmer, 1915	Family
Nolella	Gosse, 1855	Genus
Nolella stipata	Gosse, 1855	Species
Nolella gigantea	(Wyville Thomson, 1858)	Species
Nolella dilatata	(Hincks, 1860)	Species
Anquinella	(Wyville Thomson, 1858)	Genus
Anquinella palmata	(Wyville Thomson, 1858)	Species
Anguinella	Van Beneden, 1845	Genus
Anguinella palmata	Van Beneden, 1845	Species
Paludicellidae	(Wyville Thomson, 1858)	Family
Paludicella	(Wyville Thomson, 1858)	Genus
Paludicella articella	(Wyville Thomson, 1858)	Species
Paludicella articulata	(Ehrenberg, 1831)	Species
Alcyonella articulata	Ehrenberg, 1831	Species
Pottsiella	(Wyville Thomson, 1858)	Genus
Pottsiella erecta	(Potts)	Species
Vesicularioidea	(Wyville Thomson, 1858)	Superfamily
Vesiculariidae	Johnston, 1838	Family
Amathia	(Wyville Thomson, 1858)	Genus
Amathia convoluta	Lamouroux	Species
Amathia vidovici	Heller	Species
Amathia alternata	(Wyville Thomson, 1858)	Species
Amathia distans	(Wyville Thomson, 1858)	Species
Amathia lendigera	(Wyville Thomson, 1858)	Species
Bowerbankia	Farre, 1837	Genus
Bowerbankia gracilis	Leidy	Species
Bowerbankia gracilis aggregata	(Wyville Thomson, 1858)	Subspecies
Bowerbankia gracilis gracilis	(Wyville Thomson, 1858)	Subspecies
Bowerbankia imbricata	(Adams, 1800)	Species
Bowerbankia maxima	(Wyville Thomson, 1858)	Species
Bowerbankia pustulosa	(Ellis and Solander, 1786)	Species
Vesicularia pustulosa	Ellis and Solander, 1786	Species
Bowerbankia arctica	Busk, 1880	Species
Bowerbankia caudata	(Hincks, 1877)	Species
Bowerbankia composita	Kluge, 1955	Species
Vesicularia	Thompson, 1830	Genus
Vesicularia	Thompson, 1830	Genus
Vesicularia fasciculata	(Wyville Thomson, 1858)	Species
Farrella	(Wyville Thomson, 1858)	Genus
Farrella gigantea	(Wyville Thomson, 1858)	Species
Farrella repens	(Wyville Thomson, 1858)	Species
Zoobotryon	Ehrenbreg, 1829	Genus
Zoobotryon verticillatum	(Della Chiaje, 1822)	Species
Stolonifera	Ehlers, 1876	Suborder
Stolonifera	Ehlers, 1876	Suborder
Walkeriidae	(Wyville Thomson, 1858)	Family
Aeverrillia	(Wyville Thomson, 1858)	Genus
Aeverrillia armata	Verrill	Species
Aeverrillia setigera	Hincks	Species
Mimosellidae	Hincks, 1877	Family
Buskiidae	Hincks, 1880	Family
Buskia	Alder, 1857	Genus
Buskia australis	(Wyville Thomson, 1858)	Species
Buskia nitens	Alder, 1857	Species
Triticellidae	G. O. Sars, 1874	Family
Triticella	Dalyell, 1847	Genus
Triticella elongata	Osburn	Species
Triticella pedicellata	(Alder, 1857)	Species
Triticella flava	Dalyell, 1847	Species
Valkeriidae	Hincks, 1877	Family
Valkeria	Fleming, 1823	Genus
Valkeria atlantica	(Wyville Thomson, 1858)	Species
Valkeria uva	(Linnaeus, 1767)	Species
Sertularia cuscuta	Linnaeus, 1767	Species
Sertularia uva	Linnaeus, 1767	Species
Terebriporina	(Wyville Thomson, 1858)	Suborder
Terebriporidae	(Wyville Thomson, 1858)	Family
Penetrantiidae	Silen, 1946	Family
Immergentiidae	(Wyville Thomson, 1858)	Family
Cyclostomata	Busk, 1852	Order
Articulata	Busk, 1859	Suborder
Articulata	(Wyville Thomson, 1858)	Suborder
Crisiidae	Johnston, 1838	Family
Crisia	Lamouroux, 1812	Genus
Crisia eburnea	(Linnaeus, 1758)	Species
Sertularia eburnea	Linnaeus, 1758	Species
Crisia cribraria	(Wyville Thomson, 1858)	Species
Crisia occidentalis	(Wyville Thomson, 1858)	Species
Crisia denticulata	(Lamarck, 1816)	Species
Crisia denticulata denticulata	(Lamarck, 1816)	Subspecies
Crisia denticulata borgi	Kluge, 1962	Subspecies
Crisia denticulata arctica	M. Sars, 1863	Subspecies
Crisia elongata	(Wyville Thomson, 1858)	Species
Crisia aculeata	Hassall, 1841	Species
Crisia aculeata aculeata	Hassall, 1841	Subspecies
Crisia aculeata bathyalis	Kluge, 1946	Subspecies
Crisia eburneo-denticulata	Smitt, 1875	Species
Crisia constans	Kluge, 1946	Species
Bicrisia	D'orbigny, 1853	Genus
Bicrisia edwardsiana	(d'Orbigny, 1852)	Species
Bicrisia abyssicola	Kluge, 1962	Species
Filicrisia	D'orbigny, 1853	Genus
Filicrisia franciscana	(Wyville Thomson, 1858)	Species
Filicrisia geniculata	(Milne-Edwards, 1838)	Species
Crisia geniculata	Milne-Edwards, 1838	Species
Filicrisia smitti	(Kluge, 1946)	Species
Crisidia	Milne-Edwards, 1838	Genus
Crisidia cornuta	(Linnaeus, 1758)	Species
Sertularia cornuta	Linnaeus, 1758	Species
Crisidia orientalis	Kluge, 1962	Species
Crisulipora	(Wyville Thomson, 1858)	Genus
Crisulipora orientalis	(Wyville Thomson, 1858)	Species
Crisulipora occidentalis	Robertson, 1910	Species
Crisiella	Borg, 1924	Genus
Crisiella producta	(Smitt, 1865)	Species
Crisia producta	Smitt, 1865	Species
Crisiella diversa	(Kluge, 1955)	Species
Crisiella complecta	(Kluge, 1955)	Species
Tubuliporina	Milne-Edwards, 1838	Suborder
Diastoporidae	Busk, 1859	Family
Diplosolen	(Wyville Thomson, 1858)	Genus
Diplosolen obelia	(Johnston, 1838)	Species
Berenicea obelia	Johnston, 1838	Species
Diplosolen obelia obelia	(Johnston, 1838)	Subspecies
Diplosolen obelia arctica	(Waters, 1904)	Subspecies
Diplosolen intricarius	(Smitt, 1872)	Species
Berenicea	Lamouroux, 1821	Genus
Berenicea arctica	Kluge, 1946	Species
Berenicea oblonga	Kluge, 1946	Species
Berenicea patina	(Lamarck, 1816)	Species
Berenicea meandrina	(S. Woods, 1844)	Species
Tubuliporidae	Johnston, 1838	Family
Tubulipora	Lamarck, 1816	Genus
Tubulipora flabellaris	(Fabricius, 1780)	Species
Tubulipora atlantica	(Wyville Thomson, 1858)	Species
Tubulipora liliacea	(Pallas, 1766)	Species
Tubulipora lobulata	Hassall	Species
Tubulipora transversa	Lamarck, 1816	Species
Tubulipora maris-albi	Gostilovskaya, 1955	Species
Tubulipora eminens	Kluge, 1955	Species
Tubulipora dilatans	(Johnson, 1847)	Species
Tubulipora fructuosa	Gostilovskaya, 1955	Species
Tubulipora smitti	Kluge, 1962	Species
Tubulipora uniformis	Gostilovskaya, 1955	Species
Tubulipora aperta	Harmer, 1898	Species
Tubulipora minuta	(Kluge, 1915)	Species
Tubulipora borgi	Kluge, 1946	Species
Tubulipora murmanica	Kluge, 1915	Species
Tubulipora ventricosa	Busk, 1855	Species
Tubulipora soluta	Kluge, 1946	Species
Tubulipora penicillata	(Fabricius, 1780)	Species
Tubulipora nordgaardi	Kluge, 1946	Species
Tubulipora fruticosa	Kluge, 1946	Species
Bathysoecia	(Wyville Thomson, 1858)	Genus
Bathysoecia bassleri	(Wyville Thomson, 1858)	Species
Bathysoecia hastingsae	(Wyville Thomson, 1858)	Species
Idmonea	Lamouroux, 1821	Genus
Idmonea atlantica	Forbes, 1847	Species
Idmonea atlantica atlantica	Forbes, 1847	Subspecies
Idmonea atlantica gracilima	Busk, 1875	Subspecies
Idmonea fenestrata	Busk, 1859	Species
Idmonea tumida	(Smitt, 1872)	Species
Idmonea bidenkapi	Kluge, 1955	Species
Idmidronea	Canu and Bassler, 1920	Genus
Idmidronea atlantica	(Forbes In Johnson, 1847)	Species
Stomatopora	Milne-Edwards, 1838	Genus
Stomatopora granulata	Milne-Edwards, 1838	Species
Idmoneoides	Kluge, 1955	Genus
Idmoneoides arctoflabellaris	(Kluge, 1946)	Species
Tubulipora arctoflabellaris	Kluge, 1946	Species
Idmoneoides simplex	Kluge, 1955	Species
Oncousoeciidae	(Wyville Thomson, 1858)	Family
Oncousoecia	Canu, 1918	Genus
Oncousoecia canadensis	(Osburn, 1933)	Species
Oncousoecia diastroporides	(Norman, 1869)	Species
Alecto diastroporides	Norman, 1869	Species
Oncousoecia polygonales	(Kluge, 1915)	Species
Proboscina	Audouin, 1826	Genus
Proboscina incrassata	(Smitt, 1866)	Species
Tubulipora incrassata	Smitt, 1866	Species
Proboscina gracilis	(Kluge, 1915)	Species
Proboscina fecunda	Kluge, 1962	Species
Proboscina major	(Johnston, 1847)	Species
Proboscina boryi	Audouin, 1826	Species
Terviidae	(Wyville Thomson, 1858)	Family
Entalophoridae	Reuss, 1869	Family
Entalophora	Lamouroux, 1821	Genus
Entalophora capitata	(Wyville Thomson, 1858)	Species
Entalophora proboscideoides	(Wyville Thomson, 1858)	Species
Entalophora cellarioides	Lamouroux, 1821	Species
Entalophora clavata	(Busk, 1859)	Species
Entalophora harmeri	(Osburn, 1933)	Species
Bientalophora	(Wyville Thomson, 1858)	Genus
Bientalophora cylindrica	(Wyville Thomson, 1858)	Species
Diaperoeciidae	(Wyville Thomson, 1858)	Family
Diaperoecia	(Wyville Thomson, 1858)	Genus
Diaperoecia johnstoni	(Wyville Thomson, 1858)	Species
Diaperoecia intermedia	(Wyville Thomson, 1858)	Species
